date,region,product_id,revenue,units_sold,orders,customers
2023-05-15,North,Product B,17021.13,90,30,23
2023-05-15,North,Product C,28240.2,67,22,17
2023-05-15,South,Product A,28618.62,107,34,27
2023-05-15,South,Product B,14367.87,76,24,19
2023-05-15,South,Product C,24743.489999999998,59,19,15
2023-05-22,North,Product A,33165.35,124,40,31
2023-05-22,North,Product B,17580.58,92,30,24
2023-05-22,North,Product C,27867.3,67,22,17
2023-05-22,South,Product A,26994.2,100,32,25
2023-05-22,South,Product B,13569.17,71,23,18
2023-05-22,South,Product C,22446.190000000002,54,17,13
2023-05-29,North,Product A,35522.36,131,43,33
2023-05-29,North,Product B,18104.09,96,31,25
2023-05-29,North,Product C,27884.14,67,21,17
2023-05-29,South,Product A,28490.11,106,34,26
2023-05-29,South,Product B,14343.2,75,24,19
2023-05-29,South,Product C,23592.95,57,18,14
2023-06-05,North,Product A,35313.73,131,43,34
2023-06-05,North,Product B,18454.33,96,32,24
2023-06-05,North,Product C,28713.59,70,22,18
2023-06-05,South,Product A,29192.84,108,35,27
2023-06-05,South,Product B,15223.14,80,27,20
2023-06-05,South,Product C,22693.86,54,17,13
2023-06-12,North,Product A,33403.48,124,41,31
2023-06-12,North,Product B,18115.97,94,31,25
2023-06-12,North,Product C,30767.530000000002,73,25,18
2023-06-12,South,Product A,29090.79,108,35,29
2023-06-12,South,Product B,15484.1,80,25,21
2023-06-12,South,Product C,23191.52,56,18,14
2023-06-19,North,Product A,36038.41,131,42,33
2023-06-19,North,Product B,17051.15,89,30,23
2023-06-19,North,Product C,29256.21,70,23,19
2023-06-19,South,Product A,27985.29,105,34,26
2023-06-19,South,Product B,14918.09,78,26,20
2023-06-19,South,Product C,22069.68,52,18,14
2023-06-26,North,Product A,35115.74,130,42,32
2023-06-26,North,Product B,18762.14,97,31,24
2023-06-26,North,Product C,30785.98,73,24,18
2023-06-26,South,Product A,28445.97,106,34,27
2023-06-26,South,Product B,15035.619999999999,79,27,19
2023-06-26,South,Product C,23369.79,56,19,15
2023-07-03,North,Product A,33398.07,124,40,32
2023-07-03,North,Product B,17483.77,92,30,24
2023-07-03,North,Product C,28217.82,68,22,16
2023-07-03,South,Product A,29258.97,106,35,27
2023-07-03,South,Product B,15134.34,79,25,21
2023-07-03,South,Product C,23654.88,56,19,14
2023-07-10,North,Product A,33907.46,126,41,32
2023-07-10,North,Product B,17841.59,94,30,23
2023-07-10,North,Product C,28791.84,69,22,17
2023-07-10,South,Product A,27700.41,102,33,25
2023-07-10,South,Product B,15403.39,80,26,20
2023-07-10,South,Product C,23366.42,56,18,14
2023-07-17,North,Product A,34847.37,128,42,31
2023-07-17,North,Product B,18623.13,96,30,25
2023-07-17,North,Product C,29835.42,71,23,19
2023-07-17,South,Product A,28564.07,106,35,27
2023-07-17,South,Product B,14540.93,76,25,20
2023-07-17,South,Product C,23734.379999999997,57,19,14
2023-07-24,North,Product A,34940.25,130,42,33
2023-07-24,North,Product B,18726.22,97,32,25
2023-07-24,North,Product C,29084.05,70,23,19
2023-07-24,South,Product A,28985.07,108,35,28
2023-07-24,South,Product B,15126.779999999999,78,25,19
2023-07-24,South,Product C,24664.72,59,20,15
2023-07-31,North,Product A,34334.75,126,41,31
2023-07-31,North,Product B,19023.02,99,32,25
2023-07-31,North,Product C,29863.510000000002,72,23,18
2023-07-31,South,Product A,29103.02,106,35,27
2023-07-31,South,Product B,15565.43,81,26,20
2023-07-31,South,Product C,24215.14,58,19,15
2023-08-07,North,Product A,36867.11,136,44,34
2023-08-07,North,Product B,18472.92,95,31,24
2023-08-07,North,Product C,30311.12,73,23,19
2023-08-07,South,Product A,30057.8,112,35,27
2023-08-07,South,Product B,14438.9,75,25,20
2023-08-07,South,Product C,24992.03,60,20,16
2023-08-14,North,Product A,34536.53,128,42,32
2023-08-14,North,Product B,17367.47,90,29,23
2023-08-14,North,Product C,31261.9,75,25,19
2023-08-14,South,Product A,27304.18,99,32,25
2023-08-14,South,Product B,16181.83,85,26,20
2023-08-14,South,Product C,24750.07,60,19,15
2023-08-21,North,Product A,36266.16,135,43,33
2023-08-21,North,Product B,19113.8,100,33,26
2023-08-21,North,Product C,29020.04,71,22,18
2023-08-21,South,Product A,29475.66,108,36,28
2023-08-21,South,Product B,14985.5,79,26,19
2023-08-21,South,Product C,25723.29,62,19,15
2023-08-28,North,Product A,34427.69,128,42,32
2023-08-28,North,Product B,18321.08,95,31,25
2023-08-28,North,Product C,29429.06,72,22,18
2023-08-28,South,Product A,28785.66,106,35,26
2023-08-28,South,Product B,14918.39,78,27,19
2023-08-28,South,Product C,24753.01,59,19,15
2023-09-04,North,Product A,34090.5,127,41,32
2023-09-04,North,Product B,18608.07,98,31,26
2023-09-04,North,Product C,29317.07,72,22,19
2023-09-04,South,Product A,29437.94,109,35,27
2023-09-04,South,Product B,15251.23,79,25,20
2023-09-04,South,Product C,23478.98,56,19,14
2023-09-11,North,Product A,34922.47,127,42,32
2023-09-11,North,Product B,18509.29,98,32,24
2023-09-11,North,Product C,28425.550000000003,69,22,18
2023-09-11,South,Product A,27366.989999999998,101,33,26
2023-09-11,South,Product B,14825.74,77,25,20
2023-09-11,South,Product C,24315.2,57,19,15
2023-09-18,North,Product A,35411.75,131,42,32
2023-09-18,North,Product B,17977.41,93,30,24
2023-09-18,North,Product C,29157.920000000002,69,22,18
2023-09-18,South,Product A,26957.97,99,32,25
2023-09-18,South,Product B,15369.14,80,27,20
2023-09-18,South,Product C,23181.58,56,18,14
2023-09-25,North,Product A,35066.63,130,42,33
2023-09-25,North,Product B,19159.95,99,32,25
2023-09-25,North,Product C,30703.31,72,23,18
2023-09-25,South,Product A,28184.0,105,33,27
2023-09-25,South,Product B,14723.9,77,25,20
2023-09-25,South,Product C,24808.22,59,19,14
2023-10-02,North,Product A,34085.520000000004,125,41,32
2023-10-02,North,Product B,17619.12,93,30,24
2023-10-02,North,Product C,30172.53,73,23,17
2023-10-02,South,Product A,28273.14,103,33,26
2023-10-02,South,Product B,14720.16,77,24,19
2023-10-02,South,Product C,22692.14,55,17,14
2023-10-09,North,Product A,33264.17,123,40,31
2023-10-09,North,Product B,18236.63,96,32,24
2023-10-09,North,Product C,29309.03,71,24,18
2023-10-09,South,Product A,28459.37,105,34,27
2023-10-09,South,Product B,14282.779999999999,74,25,20
2023-10-09,South,Product C,24048.1,58,19,14
2023-10-16,North,Product A,35119.79,130,43,33
2023-10-16,North,Product B,17482.170000000002,91,30,24
2023-10-16,North,Product C,28256.34,67,22,17
2023-10-16,South,Product A,29503.36,108,35,28
2023-10-16,South,Product B,14953.029999999999,78,26,19
2023-10-16,South,Product C,23875.47,56,19,15
2023-10-23,North,Product A,37007.1,136,44,34
2023-10-23,North,Product B,17809.01,92,30,23
2023-10-23,North,Product C,27967.82,67,21,16
2023-10-23,South,Product A,29678.510000000002,110,35,28
2023-10-23,South,Product B,14559.46,76,24,19
2023-10-23,South,Product C,25291.41,61,20,15
2023-10-30,North,Product A,35527.26,130,43,33
2023-10-30,North,Product B,18192.73,95,31,25
2023-10-30,North,Product C,30500.21,72,23,18
2023-10-30,South,Product A,27986.25,105,34,27
2023-10-30,South,Product B,15014.0,79,26,20
2023-10-30,South,Product C,24391.88,59,20,14
2023-11-06,North,Product A,33746.64,124,40,32
2023-11-06,North,Product B,18471.92,95,32,24
2023-11-06,North,Product C,27730.98,66,21,17
2023-11-06,South,Product A,27499.19,102,33,25
2023-11-06,South,Product B,15104.78,79,26,20
2023-11-06,South,Product C,22946.25,55,19,14
2023-11-13,North,Product A,33002.73,120,39,30
2023-11-13,North,Product B,17954.28,93,29,24
2023-11-13,North,Product C,27813.14,67,22,16
2023-11-13,South,Product A,28363.77,105,34,26
2023-11-13,South,Product B,15176.52,78,24,19
2023-11-13,South,Product C,23128.16,56,18,14
2023-11-20,North,Product A,36478.79,131,42,34
2023-11-20,North,Product B,18922.46,98,32,25
2023-11-20,North,Product C,30041.1,71,23,18
2023-11-20,South,Product A,27724.65,103,33,26
2023-11-20,South,Product B,14946.43,77,26,20
2023-11-20,South,Product C,24459.670000000002,58,19,15
2023-11-27,North,Product A,34103.28,124,41,31
2023-11-27,North,Product B,18043.14,95,29,24
2023-11-27,North,Product C,28773.17,69,23,18
2023-11-27,South,Product A,28156.72,105,32,26
2023-11-27,South,Product B,15045.35,78,25,20
2023-11-27,South,Product C,23241.37,56,18,14
2023-12-04,North,Product A,34515.9,125,41,32
2023-12-04,North,Product B,17327.61,90,29,23
2023-12-04,North,Product C,29679.19,70,22,18
2023-12-04,South,Product A,28778.670000000002,105,35,26
2023-12-04,South,Product B,14495.84,75,26,19
2023-12-04,South,Product C,24719.62,59,20,15
2023-12-11,North,Product A,35453.72,132,42,33
2023-12-11,North,Product B,18727.93,97,32,24
2023-12-11,North,Product C,28655.62,68,22,17
2023-12-11,South,Product A,28629.809999999998,104,34,26
2023-12-11,South,Product B,14254.3,74,24,18
2023-12-11,South,Product C,25340.23,59,20,15
2023-12-18,North,Product A,34309.83,125,41,32
2023-12-18,North,Product B,17428.48,90,29,23
2023-12-18,North,Product C,27899.129999999997,66,21,17
2023-12-18,South,Product A,29265.949999999997,106,34,27
2023-12-18,South,Product B,14719.27,77,26,18
2023-12-18,South,Product C,25233.96,59,19,15
2023-12-25,North,Product A,34038.02,124,40,32
2023-12-25,North,Product B,16917.99,89,28,22
2023-12-25,North,Product C,28507.55,68,22,16
2023-12-25,South,Product A,28167.63,103,33,26
2023-12-25,South,Product B,14766.88,75,24,19
2023-12-25,South,Product C,24081.219999999998,58,19,14
2024-01-01,North,Product A,35170.64,128,41,33
2024-01-01,North,Product B,17106.87,88,29,22
2024-01-01,North,Product C,29253.71,70,23,19
2024-01-01,South,Product A,28132.29,104,34,25
2024-01-01,South,Product B,14245.3,74,24,18
2024-01-01,South,Product C,22778.98,53,18,14
2024-01-08,North,Product A,34385.38,125,41,31
2024-01-08,North,Product B,17881.81,92,29,24
2024-01-08,North,Product C,30598.24,73,24,18
2024-01-08,South,Product A,28442.86,103,34,26
2024-01-08,South,Product B,14805.03,77,25,19
2024-01-08,South,Product C,23135.850000000002,55,17,14
2024-01-15,North,Product A,34026.32,125,40,31
2024-01-15,North,Product B,18795.030000000002,97,32,25
2024-01-15,North,Product C,28539.57,67,22,16
2024-01-15,South,Product A,28219.01,103,33,26
2024-01-15,South,Product B,14830.82,75,24,19
2024-01-15,South,Product C,24841.74,59,19,14
2024-01-22,North,Product A,33219.0,122,40,31
2024-01-22,North,Product B,17472.23,91,29,23
2024-01-22,North,Product C,28781.120000000003,69,22,17
2024-01-22,South,Product A,29130.15,107,34,26
2024-01-22,South,Product B,14189.78,75,24,19
2024-01-22,South,Product C,23527.72,57,19,14
2024-01-29,North,Product A,33366.560000000005,122,40,32
2024-01-29,North,Product B,18074.05,94,31,23
2024-01-29,North,Product C,30902.6,73,25,18
2024-01-29,South,Product A,27287.46,98,32,25
2024-01-29,South,Product B,15040.0,77,26,19
2024-01-29,South,Product C,24350.31,58,19,15
2024-02-05,North,Product A,36247.229999999996,135,43,34
2024-02-05,North,Product B,17410.91,90,28,22
2024-02-05,North,Product C,28769.76,69,21,17
2024-02-05,South,Product A,28476.94,103,33,26
2024-02-05,South,Product B,15113.31,78,25,20
2024-02-05,South,Product C,23554.06,56,18,14
2024-02-12,North,Product A,36219.08,132,43,35
2024-02-12,North,Product B,18089.01,94,31,24
2024-02-12,North,Product C,27336.68,65,22,18
2024-02-12,South,Product A,28353.86,104,33,26
2024-02-12,South,Product B,15746.119999999999,80,26,21
2024-02-12,South,Product C,24049.78,57,19,15
2024-02-19,North,Product A,34981.76,127,41,32
2024-02-19,North,Product B,18324.32,94,31,24
2024-02-19,North,Product C,30529.739999999998,72,23,18
2024-02-19,South,Product A,29039.34,105,33,27
2024-02-19,South,Product B,15249.33,79,26,21
2024-02-19,South,Product C,24363.73,57,20,14
2024-02-26,North,Product A,34263.36,125,41,32
2024-02-26,North,Product B,17919.72,93,30,22
2024-02-26,North,Product C,30092.61,72,23,18
2024-02-26,South,Product A,27844.55,102,34,25
2024-02-26,South,Product B,15086.859999999999,78,25,19
2024-02-26,South,Product C,26414.059999999998,63,20,15
2024-03-04,North,Product A,37099.76,134,43,34
2024-03-04,North,Product B,18300.65,94,31,24
2024-03-04,North,Product C,29174.5,68,22,16
2024-03-04,South,Product A,29020.08,105,34,27
2024-03-04,South,Product B,14689.81,76,26,19
2024-03-04,South,Product C,24679.15,59,19,15
2024-03-11,North,Product A,35350.55,128,42,33
2024-03-11,North,Product B,18535.68,97,31,25
2024-03-11,North,Product C,30430.04,73,24,18
2024-03-11,South,Product A,27905.29,102,33,26
2024-03-11,South,Product B,15829.3,82,27,21
2024-03-11,South,Product C,24712.87,58,19,15
2024-03-18,North,Product A,35397.47,128,41,31
2024-03-18,North,Product B,18013.33,93,30,23
2024-03-18,North,Product C,30273.02,72,22,18
2024-03-18,South,Product A,28582.059999999998,104,34,26
2024-03-18,South,Product B,15714.85,81,26,21
2024-03-18,South,Product C,24783.03,57,19,15
2024-03-25,North,Product A,35147.11,127,42,33
2024-03-25,North,Product B,18879.03,97,31,25
2024-03-25,North,Product C,29210.379999999997,69,23,17
2024-03-25,South,Product A,28658.9,104,34,27
2024-03-25,South,Product B,15717.220000000001,82,26,21
2024-03-25,South,Product C,24269.63,58,18,14
2024-04-01,North,Product A,36305.01,131,43,33
2024-04-01,North,Product B,18392.28,94,32,24
2024-04-01,North,Product C,31268.71,74,23,18
2024-04-01,South,Product A,31538.96,115,37,30
2024-04-01,South,Product B,15113.73,77,25,20
2024-04-01,South,Product C,24998.52,59,19,15
2024-04-08,North,Product A,35894.4,129,43,33
2024-04-08,North,Product B,19195.420000000002,99,32,25
2024-04-08,North,Product C,31718.89,75,25,19
2024-04-08,South,Product A,30130.73,109,36,28
2024-04-08,South,Product B,15179.79,79,25,20
2024-04-08,South,Product C,24542.02,58,19,15
2024-04-15,North,Product A,36811.57,134,43,35
2024-04-15,North,Product B,19615.05,101,32,26
2024-04-15,North,Product C,30083.19,70,23,18
2024-04-15,South,Product A,31386.559999999998,114,36,29
2024-04-15,South,Product B,14786.52,76,25,20
2024-04-15,South,Product C,24978.54,59,19,15
2024-04-22,North,Product A,36267.14,132,42,32
2024-04-22,North,Product B,19397.89,99,32,26
2024-04-22,North,Product C,29951.09,71,23,19
2024-04-22,South,Product A,29091.239999999998,108,35,27
2024-04-22,South,Product B,16744.53,86,28,22
2024-04-22,South,Product C,25569.72,60,20,16
2024-04-29,North,Product A,34774.299999999996,129,42,31
2024-04-29,North,Product B,19430.37,99,32,25
2024-04-29,North,Product C,30476.85,72,23,18
2024-04-29,South,Product A,27806.79,102,32,25
2024-04-29,South,Product B,15619.89,79,26,20
2024-04-29,South,Product C,24915.27,59,19,15
2024-05-06,North,Product A,37916.67,140,45,36
2024-05-06,North,Product B,19379.329999999998,101,32,24
2024-05-06,North,Product C,32089.53,75,25,20
2024-05-06,South,Product A,30168.66,108,35,28
2024-05-06,South,Product B,15788.279999999999,82,27,21
2024-05-06,South,Product C,26490.31,62,20,15
2024-05-13,North,Product A,35773.87,130,43,32
2024-05-13,North,Product B,18514.87,96,30,24
2024-05-13,North,Product C,31426.57,76,24,19
2024-05-13,South,Product A,31487.2,115,38,30
2024-05-13,South,Product B,15465.69,79,25,19
2024-05-13,South,Product C,25499.41,60,19,15
2024-05-20,North,Product A,37240.78,135,44,33
2024-05-20,North,Product B,19181.88,99,32,25
2024-05-20,North,Product C,32165.239999999998,76,25,20
2024-05-20,South,Product A,29137.75,105,33,26
2024-05-20,South,Product B,15832.82,81,26,21
2024-05-20,South,Product C,26283.52,62,21,15
2024-05-27,North,Product A,37951.31,137,45,35
2024-05-27,North,Product B,19077.71,98,32,25
2024-05-27,North,Product C,30885.25,73,24,18
2024-05-27,South,Product A,30093.78,108,35,28
2024-05-27,South,Product B,15722.98,81,26,21
2024-05-27,South,Product C,26029.95,62,19,15
2024-06-03,North,Product A,35261.44,128,42,32
2024-06-03,North,Product B,19448.25,101,32,25
2024-06-03,North,Product C,31849.98,76,24,19
2024-06-03,South,Product A,30861.8,112,35,29
2024-06-03,South,Product B,16667.39,86,27,22
2024-06-03,South,Product C,25536.88,60,20,15
2024-06-10,North,Product A,36565.19,132,43,33
2024-06-10,North,Product B,20172.28,104,35,25
2024-06-10,North,Product C,32630.81,78,25,18
2024-06-10,South,Product A,30299.23,110,36,28
2024-06-10,South,Product B,16102.42,83,27,22
2024-06-10,South,Product C,26904.39,64,20,16
2024-06-17,North,Product A,38564.22,140,44,36
2024-06-17,North,Product B,19339.41,99,31,26
2024-06-17,North,Product C,32346.34,75,25,18
2024-06-17,South,Product A,32148.5,117,38,29
2024-06-17,South,Product B,15845.0,81,27,21
2024-06-17,South,Product C,25978.93,61,20,16
2024-06-24,North,Product A,37128.06,134,43,34
2024-06-24,North,Product B,19905.23,102,33,26
2024-06-24,North,Product C,32188.77,76,24,20
2024-06-24,South,Product A,31581.050000000003,114,37,29
2024-06-24,South,Product B,15960.66,81,26,21
2024-06-24,South,Product C,25884.75,62,20,17
2024-07-01,North,Product A,39095.9,142,46,36
2024-07-01,North,Product B,20453.52,104,34,27
2024-07-01,North,Product C,31820.809999999998,75,25,19
2024-07-01,South,Product A,32522.01,117,39,29
2024-07-01,South,Product B,16809.53,87,28,22
2024-07-01,South,Product C,25934.37,61,19,15
2024-07-08,North,Product A,37448.979999999996,133,44,34
2024-07-08,North,Product B,20481.61,104,34,28
2024-07-08,North,Product C,31138.3,74,24,20
2024-07-08,South,Product A,31115.68,113,37,28
2024-07-08,South,Product B,16670.93,85,28,22
2024-07-08,South,Product C,26499.72,63,20,16
2024-07-15,North,Product A,38144.28,137,44,36
2024-07-15,North,Product B,20169.16,104,33,27
2024-07-15,North,Product C,30951.420000000002,73,24,19
2024-07-15,South,Product A,31621.690000000002,117,37,29
2024-07-15,South,Product B,16875.82,87,28,22
2024-07-15,South,Product C,24738.8,59,19,14
2024-07-22,North,Product A,38112.19,138,45,35
2024-07-22,North,Product B,19712.27,101,32,27
2024-07-22,North,Product C,31076.65,73,24,19
2024-07-22,South,Product A,31591.79,112,36,29
2024-07-22,South,Product B,16962.29,88,28,22
2024-07-22,South,Product C,27256.57,65,22,16
2024-07-29,North,Product A,38672.03,139,46,36
2024-07-29,North,Product B,20560.07,105,34,28
2024-07-29,North,Product C,32748.46,77,25,20
2024-07-29,South,Product A,31425.68,115,37,28
2024-07-29,South,Product B,17072.41,88,29,22
2024-07-29,South,Product C,25201.15,60,19,15
2024-08-05,North,Product A,37019.66,134,43,33
2024-08-05,North,Product B,19970.0,102,34,25
2024-08-05,North,Product C,32859.69,78,25,20
2024-08-05,South,Product A,31420.9,113,37,29
2024-08-05,South,Product B,16267.53,84,26,21
2024-08-05,South,Product C,27201.15,64,21,16
2024-08-12,North,Product A,37481.5,136,43,34
2024-08-12,North,Product B,20382.04,105,34,26
2024-08-12,North,Product C,33378.47,78,26,20
2024-08-12,South,Product A,30326.48,109,36,29
2024-08-12,South,Product B,16068.89,83,27,22
2024-08-12,South,Product C,26477.68,63,21,16
2024-08-19,North,Product A,38666.82,140,46,35
2024-08-19,North,Product B,19860.73,101,34,25
2024-08-19,North,Product C,32764.63,77,26,19
2024-08-19,South,Product A,31746.9,114,36,29
2024-08-19,South,Product B,16011.789999999999,81,26,21
2024-08-19,South,Product C,28082.61,66,21,17
2024-08-26,North,Product A,37831.21,136,45,35
2024-08-26,North,Product B,20648.08,106,35,26
2024-08-26,North,Product C,31409.66,73,23,18
2024-08-26,South,Product A,32272.64,118,39,30
2024-08-26,South,Product B,16834.739999999998,87,28,22
2024-08-26,South,Product C,28863.47,67,22,16
2024-09-02,North,Product A,38836.78,141,47,34
2024-09-02,North,Product B,19598.07,100,32,25
2024-09-02,North,Product C,31550.32,74,24,19
2024-09-02,South,Product A,31044.620000000003,113,37,28
2024-09-02,South,Product B,16528.9,84,28,22
2024-09-02,South,Product C,26165.31,62,21,15
2024-09-09,North,Product A,40888.36,148,47,37
2024-09-09,North,Product B,19441.940000000002,99,33,25
2024-09-09,North,Product C,32217.489999999998,76,25,19
2024-09-09,South,Product A,30072.49,108,36,27
2024-09-09,South,Product B,16966.74,86,28,21
2024-09-09,South,Product C,26189.510000000002,62,20,15
2024-09-16,North,Product A,39448.94,143,46,36
2024-09-16,North,Product B,20294.2,103,35,26
2024-09-16,North,Product C,30637.66,73,24,19
2024-09-16,South,Product A,31684.56,113,36,29
2024-09-16,South,Product B,15610.05,81,26,21
2024-09-16,South,Product C,26356.07,62,20,16
2024-09-23,North,Product A,39872.22,143,45,37
2024-09-23,North,Product B,20187.19,103,34,25
2024-09-23,North,Product C,33929.55,79,26,20
2024-09-23,South,Product A,31986.2,114,37,29
2024-09-23,South,Product B,16592.4,84,27,22
2024-09-23,South,Product C,24897.74,59,19,15
2024-09-30,North,Product A,37695.8,136,44,34
2024-09-30,North,Product B,20373.84,104,34,27
2024-09-30,North,Product C,31498.69,74,23,19
2024-09-30,South,Product A,31147.949999999997,110,36,29
2024-09-30,South,Product B,16974.9,86,28,22
2024-09-30,South,Product C,26632.22,61,21,16
2024-10-07,North,Product A,36875.66,134,43,34
2024-10-07,North,Product B,19891.29,103,33,26
2024-10-07,North,Product C,30622.870000000003,71,24,18
2024-10-07,South,Product A,32894.11,118,38,29
2024-10-07,South,Product B,17068.17,87,29,21
2024-10-07,South,Product C,26870.260000000002,62,20,16
2024-10-14,North,Product A,37692.22,136,44,35
2024-10-14,North,Product B,19219.66,98,32,26
2024-10-14,North,Product C,32567.489999999998,77,24,19
2024-10-14,South,Product A,30576.35,111,36,27
2024-10-14,South,Product B,15773.48,81,27,19
2024-10-14,South,Product C,26110.239999999998,62,20,16
2024-10-21,North,Product A,38800.49,139,46,36
2024-10-21,North,Product B,19664.79,101,32,25
2024-10-21,North,Product C,30912.58,71,24,18
2024-10-21,South,Product A,30005.06,107,35,28
2024-10-21,South,Product B,16763.83,86,28,21
2024-10-21,South,Product C,26826.91,63,20,16
2024-10-28,North,Product A,40505.24,146,47,38
2024-10-28,North,Product B,19808.15,102,32,26
