date,region,product_id,fulfilled_orders,stockout_events
2023-02-06,East,Product A,27,0
2023-02-06,East,Product B,21,0
2023-02-06,East,Product C,15,0
2023-02-06,North,Product A,38,1
2023-02-06,North,Product B,29,0
2023-02-06,North,Product C,22,0
2023-02-06,South,Product A,29,1
2023-02-06,South,Product B,23,0
2023-02-06,South,Product C,17,0
2023-02-06,West,Product A,37,2
2023-02-06,West,Product B,26,1
2023-02-06,West,Product C,20,0
2023-02-13,East,Product A,26,0
2023-02-13,East,Product B,20,0
2023-02-13,East,Product C,15,0
2023-02-13,North,Product A,36,2
2023-02-13,North,Product B,28,0
2023-02-13,North,Product C,22,0
2023-02-13,South,Product A,30,0
2023-02-13,South,Product B,22,0
2023-02-13,South,Product C,17,0
2023-02-13,West,Product A,37,0
2023-02-13,West,Product B,27,0
2023-02-13,West,Product C,20,0
2023-02-20,East,Product A,28,0
2023-02-20,East,Product B,19,0
2023-02-20,East,Product C,15,0
2023-02-20,North,Product A,40,3
2023-02-20,North,Product B,28,0
2023-02-20,North,Product C,21,0
2023-02-20,South,Product A,31,2
2023-02-20,South,Product B,23,0
2023-02-20,South,Product C,18,0
2023-02-20,West,Product A,35,0
2023-02-20,West,Product B,25,0
2023-02-20,West,Product C,19,0
2023-02-27,East,Product A,28,0
2023-02-27,East,Product B,20,0
2023-02-27,East,Product C,14,0
2023-02-27,North,Product A,39,1
2023-02-27,North,Product B,29,0
2023-02-27,North,Product C,22,0
2023-02-27,South,Product A,30,1
2023-02-27,South,Product B,23,0
2023-02-27,South,Product C,17,0
2023-02-27,West,Product A,33,0
2023-02-27,West,Product B,27,0
2023-02-27,West,Product C,20,0
2023-03-06,East,Product A,27,0
2023-03-06,East,Product B,20,0
2023-03-06,East,Product C,15,0
2023-03-06,North,Product A,40,1
2023-03-06,North,Product B,29,0
2023-03-06,North,Product C,21,0
2023-03-06,South,Product A,33,1
2023-03-06,South,Product B,23,0
2023-03-06,South,Product C,18,0
2023-03-06,West,Product A,37,1
2023-03-06,West,Product B,28,1
2023-03-06,West,Product C,20,0
2023-03-13,East,Product A,28,1
2023-03-13,East,Product B,21,0
2023-03-13,East,Product C,15,0
2023-03-13,North,Product A,39,1
2023-03-13,North,Product B,29,0
2023-03-13,North,Product C,21,0
2023-03-13,South,Product A,30,1
2023-03-13,South,Product B,23,0
2023-03-13,South,Product C,18,0
2023-03-13,West,Product A,36,1
2023-03-13,West,Product B,27,0
2023-03-13,West,Product C,21,0
2023-03-20,East,Product A,28,0
2023-03-20,East,Product B,21,0
2023-03-20,East,Product C,16,0
2023-03-20,North,Product A,38,0
2023-03-20,North,Product B,27,1
2023-03-20,North,Product C,22,0
2023-03-20,South,Product A,33,1
2023-03-20,South,Product B,24,0
2023-03-20,South,Product C,17,1
2023-03-20,West,Product A,35,1
2023-03-20,West,Product B,27,0
2023-03-20,West,Product C,18,0
2023-03-27,East,Product A,29,1
2023-03-27,East,Product B,20,0
2023-03-27,East,Product C,14,0
2023-03-27,North,Product A,39,1
2023-03-27,North,Product B,30,0
2023-03-27,North,Product C,21,0
2023-03-27,South,Product A,33,0
2023-03-27,South,Product B,24,0
2023-03-27,South,Product C,18,0
2023-03-27,West,Product A,36,0
2023-03-27,West,Product B,27,0
2023-03-27,West,Product C,20,0
2023-04-03,East,Product A,28,0
2023-04-03,East,Product B,21,0
2023-04-03,East,Product C,14,0
2023-04-03,North,Product A,39,2
2023-04-03,North,Product B,27,1
2023-04-03,North,Product C,22,0
2023-04-03,South,Product A,32,2
2023-04-03,South,Product B,25,0
2023-04-03,South,Product C,17,0
2023-04-03,West,Product A,38,2
2023-04-03,West,Product B,28,0
2023-04-03,West,Product C,20,0
2023-04-10,East,Product A,28,0
2023-04-10,East,Product B,21,0
2023-04-10,East,Product C,15,0
2023-04-10,North,Product A,43,1
2023-04-10,North,Product B,30,0
2023-04-10,North,Product C,22,0
2023-04-10,South,Product A,32,0
2023-04-10,South,Product B,24,0
2023-04-10,South,Product C,16,0
2023-04-10,West,Product A,35,0
2023-04-10,West,Product B,26,0
2023-04-10,West,Product C,20,0
2023-04-17,East,Product A,27,0
2023-04-17,East,Product B,21,0
2023-04-17,East,Product C,15,0
2023-04-17,North,Product A,40,1
2023-04-17,North,Product B,29,0
2023-04-17,North,Product C,21,0
2023-04-17,South,Product A,33,0
2023-04-17,South,Product B,24,0
2023-04-17,South,Product C,19,0
2023-04-17,West,Product A,37,1
2023-04-17,West,Product B,28,0
2023-04-17,West,Product C,20,0
2023-04-24,East,Product A,28,0
2023-04-24,East,Product B,20,0
2023-04-24,East,Product C,17,0
2023-04-24,North,Product A,39,1
2023-04-24,North,Product B,30,0
2023-04-24,North,Product C,22,0
2023-04-24,South,Product A,34,0
2023-04-24,South,Product B,23,0
2023-04-24,South,Product C,19,0
2023-04-24,West,Product A,37,0
2023-04-24,West,Product B,28,0
2023-04-24,West,Product C,21,0
2023-05-01,East,Product A,28,0
2023-05-01,East,Product B,22,0
2023-05-01,East,Product C,15,0
2023-05-01,North,Product A,40,2
2023-05-01,North,Product B,29,2
2023-05-01,North,Product C,22,0
2023-05-01,South,Product A,32,1
2023-05-01,South,Product B,25,0
2023-05-01,South,Product C,18,0
2023-05-01,West,Product A,38,1
2023-05-01,West,Product B,29,1
2023-05-01,West,Product C,21,0
2023-05-08,East,Product A,30,1
2023-05-08,East,Product B,22,0
2023-05-08,East,Product C,16,0
2023-05-08,North,Product A,40,1
2023-05-08,North,Product B,29,1
2023-05-08,North,Product C,23,0
2023-05-08,South,Product A,33,2
2023-05-08,South,Product B,26,0
2023-05-08,South,Product C,18,0
2023-05-08,West,Product A,37,2
2023-05-08,West,Product B,29,0
2023-05-08,West,Product C,22,0
2023-05-15,East,Product A,29,2
2023-05-15,East,Product B,22,0
2023-05-15,East,Product C,17,0
2023-05-15,North,Product A,40,1
2023-05-15,North,Product B,30,0
2023-05-15,North,Product C,22,0
2023-05-15,South,Product A,34,0
2023-05-15,South,Product B,24,1
2023-05-15,South,Product C,19,0
2023-05-15,West,Product A,38,2
2023-05-15,West,Product B,29,0
2023-05-15,West,Product C,21,1
2023-05-22,East,Product A,29,0
2023-05-22,East,Product B,22,0
2023-05-22,East,Product C,15,0
2023-05-22,North,Product A,40,1
2023-05-22,North,Product B,30,1
2023-05-22,North,Product C,22,0
2023-05-22,South,Product A,32,0
2023-05-22,South,Product B,23,1
2023-05-22,South,Product C,17,0
2023-05-22,West,Product A,38,1
2023-05-22,West,Product B,29,0
2023-05-22,West,Product C,21,0
2023-05-29,East,Product A,27,1
2023-05-29,East,Product B,21,0
2023-05-29,East,Product C,14,0
2023-05-29,North,Product A,43,1
2023-05-29,North,Product B,31,1
2023-05-29,North,Product C,21,0
2023-05-29,South,Product A,34,1
2023-05-29,South,Product B,24,0
2023-05-29,South,Product C,18,0
2023-05-29,West,Product A,37,1
2023-05-29,West,Product B,29,0
2023-05-29,West,Product C,22,0
2023-06-05,East,Product A,30,1
2023-06-05,East,Product B,23,0
2023-06-05,East,Product C,15,0
2023-06-05,North,Product A,43,2
2023-06-05,North,Product B,32,0
2023-06-05,North,Product C,22,0
2023-06-05,South,Product A,35,1
2023-06-05,South,Product B,27,0
2023-06-05,South,Product C,17,0
2023-06-05,West,Product A,40,0
2023-06-05,West,Product B,28,1
2023-06-05,West,Product C,21,0
2023-06-12,East,Product A,30,0
2023-06-12,East,Product B,21,0
2023-06-12,East,Product C,17,0
2023-06-12,North,Product A,41,2
2023-06-12,North,Product B,31,1
2023-06-12,North,Product C,25,0
2023-06-12,South,Product A,35,1
2023-06-12,South,Product B,25,0
2023-06-12,South,Product C,18,0
2023-06-12,West,Product A,40,0
2023-06-12,West,Product B,27,1
2023-06-12,West,Product C,21,0
2023-06-19,East,Product A,29,0
2023-06-19,East,Product B,21,1
2023-06-19,East,Product C,15,0
2023-06-19,North,Product A,42,2
2023-06-19,North,Product B,30,0
2023-06-19,North,Product C,23,0
2023-06-19,South,Product A,34,0
2023-06-19,South,Product B,26,0
2023-06-19,South,Product C,18,0
2023-06-19,West,Product A,39,1
2023-06-19,West,Product B,29,0
2023-06-19,West,Product C,22,0
2023-06-26,East,Product A,29,1
2023-06-26,East,Product B,23,0
2023-06-26,East,Product C,16,0
2023-06-26,North,Product A,42,2
2023-06-26,North,Product B,31,0
2023-06-26,North,Product C,24,0
2023-06-26,South,Product A,34,0
2023-06-26,South,Product B,27,1
2023-06-26,South,Product C,19,0
2023-06-26,West,Product A,37,1
2023-06-26,West,Product B,29,0
2023-06-26,West,Product C,21,0
2023-07-03,East,Product A,30,0
2023-07-03,East,Product B,22,0
2023-07-03,East,Product C,16,0
2023-07-03,North,Product A,40,1
2023-07-03,North,Product B,30,1
2023-07-03,North,Product C,22,0
2023-07-03,South,Product A,35,1
2023-07-03,South,Product B,25,0
2023-07-03,South,Product C,19,0
2023-07-03,West,Product A,39,2
2023-07-03,West,Product B,29,1
2023-07-03,West,Product C,23,0
2023-07-10,East,Product A,31,0
2023-07-10,East,Product B,23,0
2023-07-10,East,Product C,16,0
2023-07-10,North,Product A,41,3
2023-07-10,North,Product B,30,1
2023-07-10,North,Product C,22,1
2023-07-10,South,Product A,33,2
2023-07-10,South,Product B,26,0
2023-07-10,South,Product C,18,0
2023-07-10,West,Product A,39,2
2023-07-10,West,Product B,28,0
2023-07-10,West,Product C,21,0
2023-07-17,East,Product A,31,1
2023-07-17,East,Product B,21,0
2023-07-17,East,Product C,16,0
2023-07-17,North,Product A,42,3
2023-07-17,North,Product B,30,1
2023-07-17,North,Product C,23,0
2023-07-17,South,Product A,35,1
2023-07-17,South,Product B,25,1
2023-07-17,South,Product C,19,0
2023-07-17,West,Product A,41,1
2023-07-17,West,Product B,28,0
2023-07-17,West,Product C,22,0
2023-07-24,East,Product A,30,0
2023-07-24,East,Product B,22,0
2023-07-24,East,Product C,16,0
2023-07-24,North,Product A,42,2
2023-07-24,North,Product B,32,1
2023-07-24,North,Product C,23,0
2023-07-24,South,Product A,35,1
2023-07-24,South,Product B,25,0
2023-07-24,South,Product C,20,0
2023-07-24,West,Product A,40,1
2023-07-24,West,Product B,28,0
2023-07-24,West,Product C,22,0
2023-07-31,East,Product A,30,0
2023-07-31,East,Product B,21,0
2023-07-31,East,Product C,16,0
2023-07-31,North,Product A,41,1
2023-07-31,North,Product B,32,2
2023-07-31,North,Product C,23,0
2023-07-31,South,Product A,35,0
2023-07-31,South,Product B,26,1
2023-07-31,South,Product C,19,0
2023-07-31,West,Product A,40,2
2023-07-31,West,Product B,28,0
2023-07-31,West,Product C,21,0
2023-08-07,East,Product A,28,0
2023-08-07,East,Product B,22,0
2023-08-07,East,Product C,15,0
2023-08-07,North,Product A,44,1
2023-08-07,North,Product B,31,1
2023-08-07,North,Product C,23,0
2023-08-07,South,Product A,35,1
2023-08-07,South,Product B,25,0
2023-08-07,South,Product C,20,0
2023-08-07,West,Product A,38,1
2023-08-07,West,Product B,29,0
2023-08-07,West,Product C,20,0
2023-08-14,East,Product A,30,0
2023-08-14,East,Product B,21,0
2023-08-14,East,Product C,16,0
2023-08-14,North,Product A,42,2
2023-08-14,North,Product B,29,1
2023-08-14,North,Product C,25,0
2023-08-14,South,Product A,32,1
2023-08-14,South,Product B,26,0
2023-08-14,South,Product C,19,0
2023-08-14,West,Product A,40,1
2023-08-14,West,Product B,29,0
2023-08-14,West,Product C,21,0
2023-08-21,East,Product A,28,0
2023-08-21,East,Product B,22,1
2023-08-21,East,Product C,18,0
2023-08-21,North,Product A,43,3
2023-08-21,North,Product B,33,1
2023-08-21,North,Product C,22,0
2023-08-21,South,Product A,36,1
2023-08-21,South,Product B,26,0
2023-08-21,South,Product C,19,0
2023-08-21,West,Product A,38,1
2023-08-21,West,Product B,30,0
2023-08-21,West,Product C,21,0
2023-08-28,East,Product A,30,0
2023-08-28,East,Product B,23,0
2023-08-28,East,Product C,17,0
2023-08-28,North,Product A,42,2
2023-08-28,North,Product B,31,0
2023-08-28,North,Product C,22,0
2023-08-28,South,Product A,35,1
2023-08-28,South,Product B,27,0
2023-08-28,South,Product C,19,0
2023-08-28,West,Product A,42,2
2023-08-28,West,Product B,29,0
2023-08-28,West,Product C,21,0
2023-09-04,East,Product A,28,0
2023-09-04,East,Product B,23,0
2023-09-04,East,Product C,16,0
2023-09-04,North,Product A,41,2
2023-09-04,North,Product B,31,0
2023-09-04,North,Product C,22,0
2023-09-04,South,Product A,35,1
2023-09-04,South,Product B,25,0
2023-09-04,South,Product C,19,0
2023-09-04,West,Product A,37,0
2023-09-04,West,Product B,28,1
2023-09-04,West,Product C,22,0
2023-09-11,East,Product A,30,0
2023-09-11,East,Product B,21,0
2023-09-11,East,Product C,15,0
2023-09-11,North,Product A,42,3
2023-09-11,North,Product B,32,3
2023-09-11,North,Product C,22,0
2023-09-11,South,Product A,33,1
2023-09-11,South,Product B,25,0
2023-09-11,South,Product C,19,0
2023-09-11,West,Product A,38,1
2023-09-11,West,Product B,30,1
2023-09-11,West,Product C,20,0
2023-09-18,East,Product A,29,1
2023-09-18,East,Product B,22,0
2023-09-18,East,Product C,16,0
2023-09-18,North,Product A,42,1
2023-09-18,North,Product B,30,0
2023-09-18,North,Product C,22,0
2023-09-18,South,Product A,32,0
2023-09-18,South,Product B,27,0
2023-09-18,South,Product C,18,0
2023-09-18,West,Product A,38,0
2023-09-18,West,Product B,29,0
2023-09-18,West,Product C,22,0
2023-09-25,East,Product A,29,0
2023-09-25,East,Product B,21,0
2023-09-25,East,Product C,16,0
2023-09-25,North,Product A,42,1
2023-09-25,North,Product B,32,1
2023-09-25,North,Product C,23,0
2023-09-25,South,Product A,33,0
2023-09-25,South,Product B,25,0
2023-09-25,South,Product C,19,0
2023-09-25,West,Product A,39,0
2023-09-25,West,Product B,29,0
2023-09-25,West,Product C,22,0
2023-10-02,East,Product A,31,1
2023-10-02,East,Product B,22,0
2023-10-02,East,Product C,17,0
2023-10-02,North,Product A,41,2
2023-10-02,North,Product B,30,1
2023-10-02,North,Product C,23,0
2023-10-02,South,Product A,33,0
2023-10-02,South,Product B,24,0
2023-10-02,South,Product C,17,0
2023-10-02,West,Product A,38,0
2023-10-02,West,Product B,28,0
2023-10-02,West,Product C,21,0
2023-10-09,East,Product A,28,0
2023-10-09,East,Product B,21,0
2023-10-09,East,Product C,17,0
2023-10-09,North,Product A,40,1
2023-10-09,North,Product B,32,1
2023-10-09,North,Product C,24,0
2023-10-09,South,Product A,34,0
2023-10-09,South,Product B,25,0
2023-10-09,South,Product C,19,0
2023-10-09,West,Product A,39,3
2023-10-09,West,Product B,30,0
2023-10-09,West,Product C,21,0
2023-10-16,East,Product A,29,0
2023-10-16,East,Product B,23,0
2023-10-16,East,Product C,16,0
2023-10-16,North,Product A,43,0
2023-10-16,North,Product B,30,1
2023-10-16,North,Product C,22,0
2023-10-16,South,Product A,35,0
2023-10-16,South,Product B,26,0
2023-10-16,South,Product C,19,0
2023-10-16,West,Product A,40,1
2023-10-16,West,Product B,28,1
2023-10-16,West,Product C,22,0
2023-10-23,East,Product A,30,0
2023-10-23,East,Product B,22,0
2023-10-23,East,Product C,15,0
2023-10-23,North,Product A,44,2
2023-10-23,North,Product B,30,1
2023-10-23,North,Product C,21,0
2023-10-23,South,Product A,35,1
2023-10-23,South,Product B,24,0
2023-10-23,South,Product C,20,0
2023-10-23,West,Product A,39,1
2023-10-23,West,Product B,28,1
2023-10-23,West,Product C,21,0
2023-10-30,East,Product A,29,0
2023-10-30,East,Product B,22,0
2023-10-30,East,Product C,16,0
2023-10-30,North,Product A,43,2
2023-10-30,North,Product B,31,0
2023-10-30,North,Product C,23,0
2023-10-30,South,Product A,34,2
2023-10-30,South,Product B,26,0
2023-10-30,South,Product C,20,0
2023-10-30,West,Product A,37,1
2023-10-30,West,Product B,29,0
2023-10-30,West,Product C,21,0
2023-11-06,East,Product A,28,0
2023-11-06,East,Product B,22,0
2023-11-06,East,Product C,16,0
2023-11-06,North,Product A,40,3
2023-11-06,North,Product B,32,0
2023-11-06,North,Product C,21,0
2023-11-06,South,Product A,33,0
2023-11-06,South,Product B,26,0
2023-11-06,South,Product C,19,0
2023-11-06,West,Product A,38,1
2023-11-06,West,Product B,29,0
2023-11-06,West,Product C,21,0
2023-11-13,East,Product A,30,0
2023-11-13,East,Product B,21,0
2023-11-13,East,Product C,15,0
2023-11-13,North,Product A,39,1
2023-11-13,North,Product B,29,0
2023-11-13,North,Product C,22,0
2023-11-13,South,Product A,34,1
2023-11-13,South,Product B,24,0
2023-11-13,South,Product C,18,0
2023-11-13,West,Product A,38,1
2023-11-13,West,Product B,28,0
2023-11-13,West,Product C,22,0
2023-11-20,East,Product A,29,0
2023-11-20,East,Product B,23,0
2023-11-20,East,Product C,16,0
2023-11-20,North,Product A,42,1
2023-11-20,North,Product B,32,0
2023-11-20,North,Product C,23,0
2023-11-20,South,Product A,33,1
2023-11-20,South,Product B,26,1
2023-11-20,South,Product C,19,0
2023-11-20,West,Product A,37,1
2023-11-20,West,Product B,27,1
2023-11-20,West,Product C,21,0
2023-11-27,East,Product A,30,0
2023-11-27,East,Product B,21,1
2023-11-27,East,Product C,15,0
2023-11-27,North,Product A,41,1
2023-11-27,North,Product B,29,0
2023-11-27,North,Product C,23,0
2023-11-27,South,Product A,32,0
2023-11-27,South,Product B,25,1
2023-11-27,South,Product C,18,0
2023-11-27,West,Product A,39,2
2023-11-27,West,Product B,29,0
2023-11-27,West,Product C,21,0
2023-12-04,East,Product A,29,0
2023-12-04,East,Product B,22,0
2023-12-04,East,Product C,16,0
2023-12-04,North,Product A,41,1
2023-12-04,North,Product B,29,0
2023-12-04,North,Product C,22,0
2023-12-04,South,Product A,35,0
2023-12-04,South,Product B,26,0
2023-12-04,South,Product C,20,0
2023-12-04,West,Product A,38,0
2023-12-04,West,Product B,28,0
2023-12-04,West,Product C,21,0
2023-12-11,East,Product A,29,0
2023-12-11,East,Product B,21,0
2023-12-11,East,Product C,15,0
2023-12-11,North,Product A,42,1
2023-12-11,North,Product B,32,0
2023-12-11,North,Product C,22,0
2023-12-11,South,Product A,34,1
2023-12-11,South,Product B,24,0
2023-12-11,South,Product C,20,0
2023-12-11,West,Product A,36,0
2023-12-11,West,Product B,29,0
2023-12-11,West,Product C,20,0
2023-12-18,East,Product A,29,1
2023-12-18,East,Product B,19,0
2023-12-18,East,Product C,16,0
2023-12-18,North,Product A,41,0
2023-12-18,North,Product B,29,0
2023-12-18,North,Product C,21,0
2023-12-18,South,Product A,34,0
2023-12-18,South,Product B,26,0
2023-12-18,South,Product C,19,0
2023-12-18,West,Product A,35,2
2023-12-18,West,Product B,30,0
2023-12-18,West,Product C,21,0
2023-12-25,East,Product A,28,1
2023-12-25,East,Product B,21,0
2023-12-25,East,Product C,16,0
2023-12-25,North,Product A,40,1
2023-12-25,North,Product B,28,0
2023-12-25,North,Product C,22,0
2023-12-25,South,Product A,33,2
2023-12-25,South,Product B,24,0
2023-12-25,South,Product C,19,0
2023-12-25,West,Product A,39,1
2023-12-25,West,Product B,29,0
2023-12-25,West,Product C,21,0
2024-01-01,East,Product A,29,1
2024-01-01,East,Product B,22,0
2024-01-01,East,Product C,15,0
2024-01-01,North,Product A,41,1
2024-01-01,North,Product B,29,1
2024-01-01,North,Product C,23,0
2024-01-01,South,Product A,34,1
2024-01-01,South,Product B,24,0
2024-01-01,South,Product C,18,0
2024-01-01,West,Product A,37,2
2024-01-01,West,Product B,28,1
2024-01-01,West,Product C,21,0
2024-01-08,East,Product A,28,0
2024-01-08,East,Product B,22,0
2024-01-08,East,Product C,16,0
2024-01-08,North,Product A,41,1
2024-01-08,North,Product B,29,2
2024-01-08,North,Product C,24,0
2024-01-08,South,Product A,34,2
2024-01-08,South,Product B,25,0
2024-01-08,South,Product C,17,0
2024-01-08,West,Product A,37,1
2024-01-08,West,Product B,26,0
2024-01-08,West,Product C,21,0
2024-01-15,East,Product A,29,0
2024-01-15,East,Product B,21,0
2024-01-15,East,Product C,16,0
2024-01-15,North,Product A,40,0
2024-01-15,North,Product B,32,1
2024-01-15,North,Product C,22,0
2024-01-15,South,Product A,33,0
2024-01-15,South,Product B,24,0
2024-01-15,South,Product C,19,0
2024-01-15,West,Product A,40,2
2024-01-15,West,Product B,27,0
2024-01-15,West,Product C,21,0
2024-01-22,East,Product A,29,1
2024-01-22,East,Product B,22,0
2024-01-22,East,Product C,17,0
2024-01-22,North,Product A,40,1
2024-01-22,North,Product B,29,0
2024-01-22,North,Product C,22,0
2024-01-22,South,Product A,34,0
2024-01-22,South,Product B,24,0
2024-01-22,South,Product C,19,0
2024-01-22,West,Product A,39,0
2024-01-22,West,Product B,29,0
2024-01-22,West,Product C,22,0
2024-01-29,East,Product A,29,0
2024-01-29,East,Product B,21,0
2024-01-29,East,Product C,15,0
2024-01-29,North,Product A,40,1
2024-01-29,North,Product B,31,0
2024-01-29,North,Product C,25,1
2024-01-29,South,Product A,32,0
2024-01-29,South,Product B,26,0
2024-01-29,South,Product C,19,0
2024-01-29,West,Product A,39,1
2024-01-29,West,Product B,29,0
2024-01-29,West,Product C,21,1
2024-02-05,East,Product A,29,1
2024-02-05,East,Product B,21,0
2024-02-05,East,Product C,16,0
2024-02-05,North,Product A,43,1
2024-02-05,North,Product B,28,0
2024-02-05,North,Product C,21,0
2024-02-05,South,Product A,33,0
2024-02-05,South,Product B,25,0
2024-02-05,South,Product C,18,0
2024-02-05,West,Product A,39,2
2024-02-05,West,Product B,29,0
2024-02-05,West,Product C,21,0
2024-02-12,East,Product A,28,0
2024-02-12,East,Product B,19,0
2024-02-12,East,Product C,17,0
2024-02-12,North,Product A,43,1
2024-02-12,North,Product B,31,2
2024-02-12,North,Product C,22,0
2024-02-12,South,Product A,33,0
2024-02-12,South,Product B,26,0
2024-02-12,South,Product C,19,0
2024-02-12,West,Product A,36,1
2024-02-12,West,Product B,29,0
2024-02-12,West,Product C,20,0
2024-02-19,East,Product A,29,1
2024-02-19,East,Product B,21,0
2024-02-19,East,Product C,16,0
2024-02-19,North,Product A,41,3
2024-02-19,North,Product B,31,1
2024-02-19,North,Product C,23,0
2024-02-19,South,Product A,33,1
2024-02-19,South,Product B,26,0
2024-02-19,South,Product C,20,0
2024-02-19,West,Product A,38,1
2024-02-19,West,Product B,27,0
2024-02-19,West,Product C,20,0
2024-02-26,East,Product A,30,0
2024-02-26,East,Product B,22,0
2024-02-26,East,Product C,15,0
2024-02-26,North,Product A,41,3
2024-02-26,North,Product B,30,0
2024-02-26,North,Product C,23,0
2024-02-26,South,Product A,34,2
2024-02-26,South,Product B,25,0
2024-02-26,South,Product C,20,0
2024-02-26,West,Product A,41,2
2024-02-26,West,Product B,28,0
2024-02-26,West,Product C,21,0
2024-03-04,East,Product A,29,0
2024-03-04,East,Product B,22,0
2024-03-04,East,Product C,16,0
2024-03-04,North,Product A,43,1
2024-03-04,North,Product B,31,0
2024-03-04,North,Product C,22,0
2024-03-04,South,Product A,34,1
2024-03-04,South,Product B,26,0
2024-03-04,South,Product C,19,0
2024-03-04,West,Product A,36,0
2024-03-04,West,Product B,28,0
2024-03-04,West,Product C,22,0
2024-03-11,East,Product A,29,0
2024-03-11,East,Product B,22,0
2024-03-11,East,Product C,15,0
2024-03-11,North,Product A,42,2
2024-03-11,North,Product B,31,0
2024-03-11,North,Product C,24,0
2024-03-11,South,Product A,33,2
2024-03-11,South,Product B,27,0
2024-03-11,South,Product C,19,0
2024-03-11,West,Product A,38,0
2024-03-11,West,Product B,28,0
2024-03-11,West,Product C,21,0
2024-03-18,East,Product A,30,1
2024-03-18,East,Product B,23,0
2024-03-18,East,Product C,17,0
2024-03-18,North,Product A,41,2
2024-03-18,North,Product B,30,0
2024-03-18,North,Product C,22,0
2024-03-18,South,Product A,34,1
2024-03-18,South,Product B,26,0
2024-03-18,South,Product C,19,0
2024-03-18,West,Product A,40,0
2024-03-18,West,Product B,28,1
2024-03-18,West,Product C,21,0
2024-03-25,East,Product A,29,0
2024-03-25,East,Product B,21,0
2024-03-25,East,Product C,16,0
2024-03-25,North,Product A,42,1
2024-03-25,North,Product B,31,0
2024-03-25,North,Product C,23,0
2024-03-25,South,Product A,34,1
2024-03-25,South,Product B,26,0
2024-03-25,South,Product C,18,0
2024-03-25,West,Product A,37,2
2024-03-25,West,Product B,29,1
2024-03-25,West,Product C,21,0
2024-04-01,East,Product A,29,0
2024-04-01,East,Product B,23,0
2024-04-01,East,Product C,17,0
2024-04-01,North,Product A,43,2
2024-04-01,North,Product B,32,1
2024-04-01,North,Product C,23,1
2024-04-01,South,Product A,37,1
2024-04-01,South,Product B,25,0
2024-04-01,South,Product C,19,0
2024-04-01,West,Product A,40,2
2024-04-01,West,Product B,27,0
2024-04-01,West,Product C,22,0
2024-04-08,East,Product A,30,0
2024-04-08,East,Product B,22,0
2024-04-08,East,Product C,17,0
2024-04-08,North,Product A,43,3
2024-04-08,North,Product B,32,0
2024-04-08,North,Product C,25,0
2024-04-08,South,Product A,36,1
2024-04-08,South,Product B,25,1
2024-04-08,South,Product C,19,0
2024-04-08,West,Product A,39,1
2024-04-08,West,Product B,30,0
2024-04-08,West,Product C,22,0
2024-04-15,East,Product A,31,0
2024-04-15,East,Product B,23,0
2024-04-15,East,Product C,15,0
2024-04-15,North,Product A,43,1
2024-04-15,North,Product B,32,0
2024-04-15,North,Product C,23,0
2024-04-15,South,Product A,36,2
2024-04-15,South,Product B,25,0
2024-04-15,South,Product C,19,0
2024-04-15,West,Product A,39,2
2024-04-15,West,Product B,29,0
2024-04-15,West,Product C,22,0
2024-04-22,East,Product A,32,0
2024-04-22,East,Product B,23,0
2024-04-22,East,Product C,15,0
2024-04-22,North,Product A,42,2
