date,hospital,department,admissions,discharges,recovered_patients,readmissions,deaths,bed_days,length_of_stay_days,beds_available,treatment_cost
2023-03-27,Riverside General,Paediatrics,99,94,88,6,1,372,3.96,88,176561.92
2023-04-03,Riverside General,Emergency,156,150,137,10,2,584,3.89,116,273933.64
2023-04-03,Riverside General,Cardiology,74,71,66,5,1,307,4.33,72,141802.21
2023-04-03,Riverside General,Surgery,61,57,53,4,0,319,5.6,64,112120.56
2023-04-03,Riverside General,Paediatrics,94,88,82,6,1,349,3.97,88,171564.99
2023-04-10,Riverside General,Emergency,176,166,155,11,2,631,3.8,116,327092.29
2023-04-10,Riverside General,Cardiology,74,69,64,4,1,287,4.16,72,136863.37
2023-04-10,Riverside General,Surgery,60,58,54,4,0,348,6.0,64,107174.56
2023-04-10,Riverside General,Paediatrics,92,86,79,6,1,372,4.32,88,176980.64
2023-04-17,Riverside General,Emergency,156,148,135,10,2,567,3.83,116,283499.8
2023-04-17,Riverside General,Cardiology,71,67,61,4,1,271,4.05,72,136332.22
2023-04-17,Riverside General,Surgery,58,54,49,4,0,307,5.68,64,110583.3
2023-04-17,Riverside General,Paediatrics,102,96,89,6,1,375,3.91,88,194486.74
2023-04-24,Riverside General,Emergency,162,154,139,10,2,605,3.93,116,306460.98
2023-04-24,Riverside General,Cardiology,78,73,66,5,1,291,3.99,72,137418.49
2023-04-24,Riverside General,Surgery,61,59,55,4,0,332,5.63,64,112754.83
2023-04-24,Riverside General,Paediatrics,98,92,86,6,1,362,3.93,88,173258.47
2023-05-01,Riverside General,Emergency,177,167,153,11,2,638,3.82,116,340174.88
2023-05-01,Riverside General,Cardiology,71,66,61,4,1,256,3.88,72,128307.89
2023-05-01,Riverside General,Surgery,66,63,58,4,1,378,6.0,64,127172.52
2023-05-01,Riverside General,Paediatrics,102,96,89,6,1,392,4.08,88,190185.17
2023-05-08,Riverside General,Emergency,175,168,151,11,2,647,3.85,116,336250.46
2023-05-08,Riverside General,Cardiology,76,72,66,5,1,313,4.35,72,144573.09
2023-05-08,Riverside General,Surgery,64,60,54,4,1,359,5.98,64,119463.01
2023-05-08,Riverside General,Paediatrics,97,90,83,6,1,389,4.32,88,174526.44
2023-05-15,Riverside General,Emergency,159,151,137,10,2,587,3.89,116,281733.51
2023-05-15,Riverside General,Cardiology,70,66,62,4,1,289,4.38,72,126270.12
2023-05-15,Riverside General,Surgery,58,55,51,4,0,312,5.67,64,108877.04
2023-05-15,Riverside General,Paediatrics,99,95,87,6,1,391,4.12,88,187586.42
2023-05-22,Riverside General,Emergency,171,160,146,10,2,694,4.34,116,306498.94
2023-05-22,Riverside General,Cardiology,72,67,61,4,1,287,4.29,72,134343.57
2023-05-22,Riverside General,Surgery,59,55,50,4,0,312,5.67,64,104978.62
2023-05-22,Riverside General,Paediatrics,93,87,81,6,1,337,3.87,88,162710.79
2023-05-29,Riverside General,Emergency,173,165,154,11,2,713,4.32,116,328969.04
2023-05-29,Riverside General,Cardiology,76,71,65,5,1,286,4.03,72,138430.83
2023-05-29,Riverside General,Surgery,65,62,58,4,1,376,6.06,64,114698.38
2023-05-29,Riverside General,Paediatrics,89,84,77,5,1,330,3.93,88,165444.22
2023-06-05,Riverside General,Emergency,170,161,148,10,2,650,4.04,116,303429.49
2023-06-05,Riverside General,Cardiology,74,69,64,4,1,294,4.26,72,134152.03
2023-06-05,Riverside General,Surgery,64,60,56,4,1,366,6.1,64,119735.39
2023-06-05,Riverside General,Paediatrics,90,85,79,6,1,373,4.39,88,160797.64
2023-06-12,Riverside General,Emergency,173,166,151,11,2,689,4.15,116,307530.15
2023-06-12,Riverside General,Cardiology,69,66,60,4,1,277,4.19,72,125600.39
2023-06-12,Riverside General,Surgery,66,63,59,4,1,362,5.74,64,118533.08
2023-06-12,Riverside General,Paediatrics,93,87,80,6,1,346,3.98,88,166462.84
2023-06-19,Riverside General,Emergency,159,152,140,10,2,661,4.35,116,295088.68
2023-06-19,Riverside General,Cardiology,76,72,66,5,1,282,3.92,72,136906.61
2023-06-19,Riverside General,Surgery,64,60,55,4,1,337,5.62,64,112907.27
2023-06-19,Riverside General,Paediatrics,95,90,81,6,1,386,4.29,88,175116.12
2023-06-26,Riverside General,Emergency,156,149,139,10,2,615,4.13,116,283090.39
2023-06-26,Riverside General,Cardiology,77,72,67,5,1,284,3.94,72,148510.67
2023-06-26,Riverside General,Surgery,59,56,51,4,0,332,5.93,64,108582.75
2023-06-26,Riverside General,Paediatrics,97,93,84,6,1,380,4.09,88,169957.22
2023-07-03,Riverside General,Emergency,174,165,151,11,2,665,4.03,116,314935.78
2023-07-03,Riverside General,Cardiology,79,75,70,5,1,292,3.89,72,143291.76
2023-07-03,Riverside General,Surgery,65,61,55,4,1,336,5.51,64,124031.78
2023-07-03,Riverside General,Paediatrics,92,88,81,6,1,384,4.36,88,166726.96
2023-07-10,Riverside General,Emergency,166,156,142,10,2,610,3.91,116,319567.0
2023-07-10,Riverside General,Cardiology,70,67,62,4,1,258,3.85,72,125237.34
2023-07-10,Riverside General,Surgery,64,61,55,4,1,353,5.79,64,121519.02
2023-07-10,Riverside General,Paediatrics,91,86,80,6,1,344,4.0,88,168111.41
2023-07-17,Riverside General,Emergency,170,158,146,10,2,610,3.86,116,315178.45
2023-07-17,Riverside General,Cardiology,78,75,68,5,1,299,3.99,72,145099.65
2023-07-17,Riverside General,Surgery,61,57,53,4,0,327,5.74,64,109168.86
2023-07-17,Riverside General,Paediatrics,97,91,85,6,1,372,4.09,88,179551.25
2023-07-24,Riverside General,Emergency,156,149,134,10,2,602,4.04,116,273125.39
2023-07-24,Riverside General,Cardiology,75,72,66,5,1,278,3.86,72,141600.16
2023-07-24,Riverside General,Surgery,66,63,59,4,1,350,5.56,64,120385.07
2023-07-24,Riverside General,Paediatrics,91,86,80,6,1,374,4.35,88,164658.05
2023-07-31,Riverside General,Emergency,159,152,137,10,2,614,4.04,116,293355.21
2023-07-31,Riverside General,Cardiology,78,74,68,5,1,317,4.28,72,143936.15
2023-07-31,Riverside General,Surgery,60,56,52,4,0,340,6.08,64,110084.57
2023-07-31,Riverside General,Paediatrics,93,88,83,6,1,365,4.15,88,164247.42
2023-08-07,Riverside General,Emergency,167,157,144,10,2,647,4.12,116,301519.7
2023-08-07,Riverside General,Cardiology,74,71,66,5,1,295,4.15,72,129894.04
2023-08-07,Riverside General,Surgery,62,59,54,4,0,345,5.85,64,117661.41
2023-08-07,Riverside General,Paediatrics,99,94,87,6,1,361,3.84,88,180159.28
2023-08-14,Riverside General,Emergency,172,165,155,11,2,650,3.94,116,301757.67
2023-08-14,Riverside General,Cardiology,75,71,64,5,1,310,4.37,72,142793.3
2023-08-14,Riverside General,Surgery,64,60,56,4,1,347,5.79,64,122451.56
2023-08-14,Riverside General,Paediatrics,99,94,86,6,1,371,3.95,88,184933.84
2023-08-21,Riverside General,Emergency,175,165,149,11,2,632,3.83,116,319287.36
2023-08-21,Riverside General,Cardiology,77,72,65,5,1,311,4.32,72,139292.74
2023-08-21,Riverside General,Surgery,63,59,55,4,1,359,6.08,64,110779.45
2023-08-21,Riverside General,Paediatrics,93,88,83,6,1,369,4.19,88,175444.67
2023-08-28,Riverside General,Emergency,171,163,153,11,2,701,4.3,116,303569.68
2023-08-28,Riverside General,Cardiology,70,66,61,4,1,258,3.91,72,127930.54
2023-08-28,Riverside General,Surgery,63,60,55,4,1,365,6.08,64,111456.22
2023-08-28,Riverside General,Paediatrics,94,88,79,6,1,378,4.29,88,172163.74
2023-09-04,Riverside General,Emergency,161,151,139,10,2,598,3.96,116,295319.75
2023-09-04,Riverside General,Cardiology,78,74,68,5,1,283,3.83,72,139998.92
2023-09-04,Riverside General,Surgery,65,62,58,4,1,360,5.8,64,124296.89
2023-09-04,Riverside General,Paediatrics,98,91,85,6,1,386,4.24,88,175355.57
2023-09-11,Riverside General,Emergency,172,163,152,11,2,686,4.21,116,303092.76
2023-09-11,Riverside General,Cardiology,79,74,69,5,1,282,3.81,72,140189.96
2023-09-11,Riverside General,Surgery,65,62,56,4,1,346,5.58,64,120863.35
2023-09-11,Riverside General,Paediatrics,91,87,80,6,1,352,4.05,88,161248.83
2023-09-18,Riverside General,Emergency,175,167,151,11,2,683,4.09,116,327099.94
2023-09-18,Riverside General,Cardiology,77,73,67,5,1,303,4.15,72,139306.45
2023-09-18,Riverside General,Surgery,61,58,53,4,0,325,5.61,64,114768.55
2023-09-18,Riverside General,Paediatrics,94,89,83,6,1,344,3.87,88,171967.63
2023-09-25,Riverside General,Emergency,168,157,147,10,2,677,4.31,116,305756.67
2023-09-25,Riverside General,Cardiology,78,74,69,5,1,302,4.08,72,150177.03
2023-09-25,Riverside General,Surgery,64,60,54,4,1,360,6.0,64,123025.04
2023-09-25,Riverside General,Paediatrics,102,97,87,6,1,408,4.21,88,195701.25
2023-10-02,Riverside General,Emergency,173,164,150,11,2,689,4.2,116,310572.55
2023-10-02,Riverside General,Cardiology,70,65,60,4,1,268,4.12,72,124245.51
2023-10-02,Riverside General,Surgery,60,57,52,4,0,341,5.98,64,107387.01
2023-10-02,Riverside General,Paediatrics,102,96,89,6,1,388,4.04,88,185565.64
2023-10-09,Riverside General,Emergency,171,162,152,11,2,643,3.97,116,311269.72
2023-10-09,Riverside General,Cardiology,74,70,63,5,1,294,4.2,72,129975.74
2023-10-09,Riverside General,Surgery,61,59,54,4,0,329,5.57,64,115737.14
2023-10-09,Riverside General,Paediatrics,98,94,87,6,1,393,4.18,88,188657.55
2023-10-16,Riverside General,Emergency,163,156,143,10,2,601,3.85,116,287442.52
2023-10-16,Riverside General,Cardiology,73,68,62,4,1,262,3.86,72,134133.65
2023-10-16,Riverside General,Surgery,62,58,54,4,0,354,6.1,64,108527.88
2023-10-16,Riverside General,Paediatrics,95,89,80,6,1,371,4.17,88,170720.27
2023-10-23,Riverside General,Emergency,167,158,148,10,2,651,4.12,116,295362.12
2023-10-23,Riverside General,Cardiology,74,71,66,5,1,298,4.2,72,141267.59
2023-10-23,Riverside General,Surgery,61,58,53,4,0,341,5.88,64,112039.97
2023-10-23,Riverside General,Paediatrics,94,89,82,6,1,369,4.15,88,169213.29
2023-10-30,Riverside General,Emergency,176,167,154,11,2,721,4.32,116,313527.15
2023-10-30,Riverside General,Cardiology,70,66,61,4,1,267,4.05,72,127466.91
2023-10-30,Riverside General,Surgery,62,59,55,4,0,342,5.8,64,116384.31
2023-10-30,Riverside General,Paediatrics,102,96,88,6,1,371,3.86,88,179919.48
2023-11-06,Riverside General,Emergency,162,151,137,10,2,646,4.28,116,302388.23
2023-11-06,Riverside General,Cardiology,76,71,65,5,1,278,3.92,72,140157.03
2023-11-06,Riverside General,Surgery,64,60,54,4,1,362,6.04,64,113396.45
2023-11-06,Riverside General,Paediatrics,102,98,89,6,1,374,3.82,88,189767.76
2023-11-13,Riverside General,Emergency,177,165,152,11,2,663,4.02,116,320589.45
2023-11-13,Riverside General,Cardiology,76,72,65,5,1,293,4.07,72,145505.42
2023-11-13,Riverside General,Surgery,65,61,56,4,1,343,5.62,64,123254.89
2023-11-13,Riverside General,Paediatrics,100,93,86,6,1,398,4.28,88,178981.32
2023-11-20,Riverside General,Emergency,162,152,139,10,2,623,4.1,116,283997.37
2023-11-20,Riverside General,Cardiology,79,76,71,5,1,321,4.22,72,141389.06
2023-11-20,Riverside General,Surgery,64,60,56,4,1,364,6.06,64,114044.45
2023-11-20,Riverside General,Paediatrics,94,88,80,6,1,377,4.28,88,168518.88
2023-11-27,Riverside General,Emergency,157,147,133,10,2,595,4.05,116,294456.06
2023-11-27,Riverside General,Cardiology,70,66,60,4,1,276,4.18,72,131335.76
2023-11-27,Riverside General,Surgery,63,59,54,4,1,327,5.55,64,110125.55
2023-11-27,Riverside General,Paediatrics,90,86,79,6,1,365,4.24,88,171870.44
2023-12-04,Riverside General,Emergency,161,152,137,10,2,593,3.9,116,293930.24
2023-12-04,Riverside General,Cardiology,75,72,65,5,1,317,4.4,72,135261.72
2023-12-04,Riverside General,Surgery,60,56,53,4,0,312,5.58,64,112223.24
2023-12-04,Riverside General,Paediatrics,92,88,80,6,1,342,3.89,88,167873.68
2023-12-11,Riverside General,Emergency,172,163,149,11,2,645,3.96,116,330477.33
2023-12-11,Riverside General,Cardiology,71,67,63,4,1,279,4.17,72,130653.17
2023-12-11,Riverside General,Surgery,65,62,56,4,1,368,5.93,64,122536.84
2023-12-11,Riverside General,Paediatrics,100,95,86,6,1,370,3.89,88,182167.55
2023-12-18,Riverside General,Emergency,167,157,144,10,2,609,3.88,116,309472.26
2023-12-18,Riverside General,Cardiology,77,72,68,5,1,297,4.13,72,142164.2
2023-12-18,Riverside General,Surgery,65,61,56,4,1,353,5.79,64,115145.49
2023-12-18,Riverside General,Paediatrics,96,92,84,6,1,386,4.2,88,169237.85
2023-12-25,Riverside General,Emergency,171,163,149,11,2,659,4.04,116,300722.48
2023-12-25,Riverside General,Cardiology,75,71,65,5,1,297,4.18,72,133130.22
2023-12-25,Riverside General,Surgery,58,54,49,4,0,327,6.06,64,104560.21
2023-12-25,Riverside General,Paediatrics,99,95,88,6,1,387,4.07,88,189315.54
2024-01-01,Riverside General,Emergency,164,154,143,10,2,628,4.08,116,307325.92
2024-01-01,Riverside General,Cardiology,75,70,64,5,1,302,4.32,72,138743.61
2024-01-01,Riverside General,Surgery,64,60,54,4,1,356,5.93,64,121665.47
2024-01-01,Riverside General,Paediatrics,102,98,89,6,1,410,4.18,88,183425.13
2024-01-08,Riverside General,Emergency,158,148,134,10,2,639,4.32,116,303137.93
2024-01-08,Riverside General,Cardiology,74,70,63,5,1,289,4.13,72,133489.17
2024-01-08,Riverside General,Surgery,65,61,56,4,1,361,5.92,64,115436.08
2024-01-08,Riverside General,Paediatrics,101,94,86,6,1,360,3.83,88,186971.4
2024-01-15,Riverside General,Emergency,175,168,156,11,2,667,3.97,116,311889.64
2024-01-15,Riverside General,Cardiology,74,70,65,5,1,284,4.05,72,132057.55
2024-01-15,Riverside General,Surgery,60,57,53,4,0,314,5.51,64,114288.36
2024-01-15,Riverside General,Paediatrics,100,95,87,6,1,397,4.18,88,176225.5
2024-01-22,Riverside General,Emergency,154,147,137,10,2,617,4.2,116,283318.15
2024-01-22,Riverside General,Cardiology,73,69,64,4,1,265,3.84,72,133972.16
2024-01-22,Riverside General,Surgery,60,57,53,4,0,333,5.85,64,115503.42
2024-01-22,Riverside General,Paediatrics,100,94,85,6,1,360,3.83,88,189368.46
2024-01-29,Riverside General,Emergency,154,147,133,10,2,606,4.12,116,287245.82
2024-01-29,Riverside General,Cardiology,69,66,60,4,1,258,3.91,72,128592.19
2024-01-29,Riverside General,Surgery,60,57,53,4,0,332,5.83,64,108568.83
2024-01-29,Riverside General,Paediatrics,94,88,79,6,1,348,3.96,88,176094.25
2024-02-05,Riverside General,Emergency,171,163,150,11,2,704,4.32,116,327527.11
2024-02-05,Riverside General,Cardiology,78,74,69,5,1,318,4.3,72,148880.71
2024-02-05,Riverside General,Surgery,62,58,53,4,0,341,5.88,64,118902.23
2024-02-05,Riverside General,Paediatrics,93,87,82,6,1,362,4.16,88,166650.36
2024-02-12,Riverside General,Emergency,157,148,136,10,2,620,4.19,116,290420.66
2024-02-12,Riverside General,Cardiology,78,74,69,5,1,319,4.31,72,147813.29
2024-02-12,Riverside General,Surgery,60,57,53,4,0,328,5.76,64,112760.23
2024-02-12,Riverside General,Paediatrics,96,91,85,6,1,395,4.34,88,178383.24
2024-02-19,Riverside General,Emergency,171,162,150,11,2,642,3.96,116,319416.38
2024-02-19,Riverside General,Cardiology,71,68,62,4,1,274,4.03,72,124813.5
2024-02-19,Riverside General,Surgery,60,57,53,4,0,321,5.64,64,110187.85
2024-02-19,Riverside General,Paediatrics,93,88,82,6,1,383,4.35,88,171643.81
2024-02-26,Riverside General,Emergency,167,157,143,10,2,688,4.38,116,319105.14
2024-02-26,Riverside General,Cardiology,74,71,65,5,1,302,4.25,72,130725.17
2024-02-26,Riverside General,Surgery,59,56,51,4,0,330,5.89,64,113862.81
2024-02-26,Riverside General,Paediatrics,97,92,83,6,1,369,4.01,88,173486.55
2024-03-04,Riverside General,Emergency,174,163,150,11,2,711,4.36,116,314709.38
2024-03-04,Riverside General,Cardiology,73,70,65,5,1,293,4.19,72,127853.27
2024-03-04,Riverside General,Surgery,61,58,53,4,0,339,5.84,64,112787.26
2024-03-04,Riverside General,Paediatrics,90,85,80,6,1,325,3.82,88,167059.11
2024-03-11,Riverside General,Emergency,155,148,139,10,2,607,4.1,116,293496.24
2024-03-11,Riverside General,Cardiology,74,69,62,4,1,293,4.25,72,132443.64
2024-03-11,Riverside General,Surgery,61,57,53,4,0,320,5.62,64,108172.25
2024-03-11,Riverside General,Paediatrics,100,96,88,6,1,396,4.13,88,188412.59
2024-03-18,Riverside General,Emergency,154,146,133,9,2,599,4.1,116,272873.27
2024-03-18,Riverside General,Cardiology,74,70,66,5,1,298,4.25,72,132363.69
2024-03-18,Riverside General,Surgery,62,58,53,4,0,342,5.9,64,119145.06
2024-03-18,Riverside General,Paediatrics,92,86,79,6,1,337,3.92,88,171563.28
2024-03-25,Riverside General,Emergency,169,161,151,10,2,678,4.21,116,303538.21
2024-03-25,Riverside General,Cardiology,71,67,63,4,1,261,3.9,72,132613.22
2024-03-25,Riverside General,Surgery,61,57,52,4,0,317,5.57,64,114352.48
2024-03-25,Riverside General,Paediatrics,100,94,88,6,1,358,3.81,88,190948.0
2024-04-01,Riverside General,Emergency,168,157,143,10,2,630,4.01,116,306779.2
2024-04-01,Riverside General,Cardiology,79,75,69,5,1,298,3.98,72,148554.68
2024-04-01,Riverside General,Surgery,66,63,57,4,1,384,6.09,64,115727.33
2024-04-01,Riverside General,Paediatrics,99,95,88,6,1,408,4.3,88,178973.58
2024-04-08,Riverside General,Emergency,175,167,150,11,2,636,3.81,116,334933.1
2024-04-08,Riverside General,Cardiology,74,71,66,5,1,289,4.07,72,135614.03
2024-04-08,Riverside General,Surgery,65,62,58,4,1,355,5.72,64,114575.73
2024-04-08,Riverside General,Paediatrics,96,92,83,6,1,364,3.96,88,169275.57
2024-04-15,Riverside General,Emergency,158,150,140,10,2,620,4.13,116,290569.49
2024-04-15,Riverside General,Cardiology,73,70,65,5,1,278,3.97,72,129478.37
2024-04-15,Riverside General,Surgery,64,61,57,4,1,343,5.62,64,114723.57
2024-04-15,Riverside General,Paediatrics,99,95,87,6,1,389,4.09,88,187962.43
2024-04-22,Riverside General,Emergency,161,153,140,10,2,626,4.09,116,291978.56
2024-04-22,Riverside General,Cardiology,70,67,62,4,1,277,4.13,72,126967.06
2024-04-22,Riverside General,Surgery,61,58,53,4,0,321,5.54,64,114860.07
2024-04-22,Riverside General,Paediatrics,96,90,81,6,1,374,4.16,88,173112.82
2024-04-29,Riverside General,Emergency,168,160,147,10,2,664,4.15,116,301919.86
2024-04-29,Riverside General,Cardiology,72,67,60,4,1,280,4.18,72,132399.2
2024-04-29,Riverside General,Surgery,58,55,50,4,0,323,5.88,64,108315.63
2024-04-29,Riverside General,Paediatrics,90,85,79,6,1,368,4.33,88,157983.27
2024-05-06,Riverside General,Emergency,154,148,134,10,2,570,3.85,116,294255.78
2024-05-06,Riverside General,Cardiology,72,69,63,4,1,304,4.4,72,132703.44
2024-05-06,Riverside General,Surgery,64,60,54,4,1,358,5.96,64,122246.03
2024-05-06,Riverside General,Paediatrics,100,96,89,6,1,365,3.8,88,181974.1
2024-05-13,Riverside General,Emergency,158,150,136,10,2,650,4.33,116,297876.64
2024-05-13,Riverside General,Cardiology,75,72,67,5,1,274,3.8,72,141390.04
2024-05-13,Riverside General,Surgery,64,60,56,4,1,353,5.88,64,112477.93
2024-05-13,Riverside General,Paediatrics,90,85,78,6,1,342,4.02,88,163247.47
2024-05-20,Riverside General,Emergency,160,149,140,10,2,609,4.09,116,299190.18
2024-05-20,Riverside General,Cardiology,76,73,66,5,1,278,3.81,72,141034.51
2024-05-20,Riverside General,Surgery,66,63,59,4,1,377,5.98,64,121882.15
2024-05-20,Riverside General,Paediatrics,96,91,85,6,1,379,4.16,88,170342.89
2024-05-27,Riverside General,Emergency,158,147,133,10,2,587,3.99,116,283062.78
2024-05-27,Riverside General,Cardiology,71,68,63,4,1,262,3.85,72,131273.68
2024-05-27,Riverside General,Surgery,66,63,59,4,1,351,5.57,64,122442.8
2024-05-27,Riverside General,Paediatrics,95,91,85,6,1,348,3.82,88,169335.37
2024-06-03,Riverside General,Emergency,174,162,149,11,2,638,3.94,116,328555.27
2024-06-03,Riverside General,Cardiology,77,73,68,5,1,315,4.32,72,138586.02
2024-06-03,Riverside General,Surgery,66,62,57,4,1,374,6.04,64,125473.75
2024-06-03,Riverside General,Paediatrics,91,86,78,6,1,343,3.99,88,172353.24
2024-06-10,Riverside General,Emergency,164,153,140,10,2,649,4.24,116,290643.96
2024-06-10,Riverside General,Cardiology,79,75,69,5,1,301,4.02,72,149918.95
2024-06-10,Riverside General,Surgery,60,57,52,4,0,336,5.89,64,115835.44
2024-06-10,Riverside General,Paediatrics,89,83,78,5,1,345,4.16,88,158750.94
2024-06-17,Riverside General,Emergency,163,152,139,10,2,579,3.81,116,291223.22
2024-06-17,Riverside General,Cardiology,77,73,66,5,1,301,4.13,72,136146.52
2024-06-17,Riverside General,Surgery,60,56,51,4,0,308,5.5,64,107690.21
2024-06-17,Riverside General,Paediatrics,94,90,84,6,1,391,4.35,88,169121.34
2024-06-24,Riverside General,Emergency,174,166,151,11,2,707,4.26,116,308299.2
2024-06-24,Riverside General,Cardiology,72,67,62,4,1,258,3.85,72,137126.9
2024-06-24,Riverside General,Surgery,62,59,53,4,0,344,5.83,64,119777.29
2024-06-24,Riverside General,Paediatrics,95,89,83,6,1,344,3.87,88,172588.86
2024-07-01,Riverside General,Emergency,157,149,140,10,2,621,4.17,116,291212.39
2024-07-01,Riverside General,Cardiology,74,71,65,5,1,289,4.07,72,134773.13
2024-07-01,Riverside General,Surgery,65,60,56,4,1,355,5.91,64,114102.66
2024-07-01,Riverside General,Paediatrics,99,95,86,6,1,407,4.28,88,185581.98
2024-07-08,Riverside General,Emergency,161,152,137,10,2,654,4.3,116,304577.58
2024-07-08,Riverside General,Cardiology,76,73,67,5,1,298,4.08,72,143524.62
2024-07-08,Riverside General,Surgery,58,55,51,4,0,333,6.06,64,105369.64
2024-07-08,Riverside General,Paediatrics,98,93,85,6,1,354,3.81,88,171803.62
2024-07-15,Riverside General,Emergency,154,147,136,10,2,570,3.88,116,277980.02
2024-07-15,Riverside General,Cardiology,71,68,62,4,1,296,4.35,72,134307.87
2024-07-15,Riverside General,Surgery,64,61,56,4,1,339,5.55,64,113233.42
2024-07-15,Riverside General,Paediatrics,93,89,83,6,1,350,3.93,88,163591.17
2024-07-22,Riverside General,Emergency,167,156,142,10,2,621,3.98,116,307416.86
2024-07-22,Riverside General,Cardiology,69,65,61,4,1,282,4.34,72,121092.91
2024-07-22,Riverside General,Surgery,58,55,52,4,0,319,5.8,64,103776.88
2024-07-22,Riverside General,Paediatrics,94,90,81,6,1,367,4.08,88,164353.9
2024-07-29,Riverside General,Emergency,171,161,147,10,2,655,4.07,116,323717.75
2024-07-29,Riverside General,Cardiology,74,70,64,5,1,307,4.38,72,133546.15
2024-07-29,Riverside General,Surgery,61,58,53,4,0,331,5.7,64,116412.06
2024-07-29,Riverside General,Paediatrics,90,86,79,6,1,338,3.93,88,164076.13
