date,school,campus,grade,students_enrolled,attendance_present,absences,graduations,disciplinary_incidents,avg_test_score,teacher_absences,operating_cost
2023-03-20,Northstar Public School,South Campus,Grade_7,299,283,16,0,2,78.9,0,27405.94
2023-03-20,Northstar Public School,South Campus,Grade_8,294,275,19,0,2,78.4,1,26478.36
2023-03-20,Northstar Public School,South Campus,Grade_9,285,271,14,0,2,73.3,1,26319.16
2023-03-27,Northstar Public School,North Campus,Grade_6,330,314,16,0,3,74.0,1,30277.23
2023-03-27,Northstar Public School,North Campus,Grade_7,325,305,20,0,3,74.1,1,30141.14
2023-03-27,Northstar Public School,North Campus,Grade_8,320,303,17,0,3,74.4,1,28673.42
2023-03-27,Northstar Public School,North Campus,Grade_9,310,291,19,0,2,77.6,0,29066.63
2023-03-27,Northstar Public School,South Campus,Grade_6,304,285,19,0,2,76.2,0,28032.88
2023-03-27,Northstar Public School,South Campus,Grade_7,299,283,16,0,2,75.8,1,26961.84
2023-03-27,Northstar Public School,South Campus,Grade_8,294,275,19,0,2,73.5,0,27122.6
2023-03-27,Northstar Public School,South Campus,Grade_9,285,269,16,0,2,74.2,1,26961.44
2023-04-03,Northstar Public School,North Campus,Grade_6,330,315,15,0,3,76.7,0,29983.0
2023-04-03,Northstar Public School,North Campus,Grade_7,325,311,14,0,3,78.2,1,30480.78
2023-04-03,Northstar Public School,North Campus,Grade_8,320,303,17,0,3,74.5,1,30027.58
2023-04-03,Northstar Public School,North Campus,Grade_9,310,293,17,0,2,78.7,0,28897.86
2023-04-03,Northstar Public School,South Campus,Grade_6,304,290,14,0,2,73.8,1,28552.57
2023-04-03,Northstar Public School,South Campus,Grade_7,299,281,18,0,2,73.1,0,27377.08
2023-04-03,Northstar Public School,South Campus,Grade_8,294,282,12,0,2,74.5,1,25725.65
2023-04-03,Northstar Public School,South Campus,Grade_9,285,268,17,0,2,77.7,0,26006.05
2023-04-10,Northstar Public School,North Campus,Grade_6,330,316,14,0,3,77.7,1,30726.5
2023-04-10,Northstar Public School,North Campus,Grade_7,325,310,15,0,3,73.9,1,30294.16
2023-04-10,Northstar Public School,North Campus,Grade_8,320,299,21,0,3,74.9,1,28415.16
2023-04-10,Northstar Public School,North Campus,Grade_9,310,293,17,0,2,75.2,1,27484.32
2023-04-10,Northstar Public School,South Campus,Grade_6,304,285,19,0,2,77.1,0,26641.04
2023-04-10,Northstar Public School,South Campus,Grade_7,299,281,18,0,2,74.4,0,26844.56
2023-04-10,Northstar Public School,South Campus,Grade_8,294,278,16,0,2,78.6,1,27524.31
2023-04-10,Northstar Public School,South Campus,Grade_9,285,269,16,0,2,74.5,0,25580.5
2023-04-17,Northstar Public School,North Campus,Grade_6,330,308,22,0,3,75.6,1,30327.84
2023-04-17,Northstar Public School,North Campus,Grade_7,325,311,14,0,3,73.2,1,29329.4
2023-04-17,Northstar Public School,North Campus,Grade_8,320,300,20,0,3,75.8,1,29747.63
2023-04-17,Northstar Public School,North Campus,Grade_9,310,295,15,0,2,77.2,1,27130.3
2023-04-17,Northstar Public School,South Campus,Grade_6,304,286,18,0,2,73.9,1,27916.52
2023-04-17,Northstar Public School,South Campus,Grade_7,299,283,16,0,2,78.2,0,28118.44
2023-04-17,Northstar Public School,South Campus,Grade_8,294,277,17,0,2,78.6,0,25850.17
2023-04-17,Northstar Public School,South Campus,Grade_9,285,270,15,0,2,76.9,0,26408.67
2023-04-24,Northstar Public School,North Campus,Grade_6,330,316,14,0,3,75.9,1,29805.27
2023-04-24,Northstar Public School,North Campus,Grade_7,325,306,19,0,3,75.9,0,29150.51
2023-04-24,Northstar Public School,North Campus,Grade_8,320,302,18,0,3,77.7,0,30021.71
2023-04-24,Northstar Public School,North Campus,Grade_9,310,293,17,0,2,77.3,1,29014.8
2023-04-24,Northstar Public School,South Campus,Grade_6,304,284,20,0,2,76.9,1,26620.44
2023-04-24,Northstar Public School,South Campus,Grade_7,299,282,17,0,2,78.6,0,27808.38
2023-04-24,Northstar Public School,South Campus,Grade_8,294,276,18,0,2,79.0,1,27031.35
2023-04-24,Northstar Public School,South Campus,Grade_9,285,271,14,0,2,73.2,0,25470.24
2023-05-01,Northstar Public School,North Campus,Grade_6,330,316,14,0,3,73.2,1,30899.86
2023-05-01,Northstar Public School,North Campus,Grade_7,325,309,16,0,3,75.2,1,29094.39
2023-05-01,Northstar Public School,North Campus,Grade_8,320,306,14,0,3,74.8,1,29950.37
2023-05-01,Northstar Public School,North Campus,Grade_9,310,294,16,0,2,78.3,1,27962.95
2023-05-01,Northstar Public School,South Campus,Grade_6,304,288,16,0,2,74.4,0,28293.48
2023-05-01,Northstar Public School,South Campus,Grade_7,299,281,18,0,2,74.8,0,26951.78
2023-05-01,Northstar Public School,South Campus,Grade_8,294,281,13,0,2,78.6,1,27093.01
2023-05-01,Northstar Public School,South Campus,Grade_9,285,270,15,0,2,77.6,0,26922.75
2023-05-08,Northstar Public School,North Campus,Grade_6,330,315,15,0,3,74.9,1,30943.83
2023-05-08,Northstar Public School,North Campus,Grade_7,325,309,16,0,3,78.1,0,28991.76
2023-05-08,Northstar Public School,North Campus,Grade_8,320,306,14,0,3,76.4,0,29182.95
2023-05-08,Northstar Public School,North Campus,Grade_9,310,296,14,0,2,76.6,0,27717.14
2023-05-08,Northstar Public School,South Campus,Grade_6,304,290,14,0,2,73.7,1,28575.55
2023-05-08,Northstar Public School,South Campus,Grade_7,299,283,16,0,2,75.4,0,26204.91
2023-05-08,Northstar Public School,South Campus,Grade_8,294,278,16,0,2,74.2,0,25788.42
2023-05-08,Northstar Public School,South Campus,Grade_9,285,272,13,0,2,75.2,1,26034.72
2023-05-15,Northstar Public School,North Campus,Grade_6,330,311,19,0,3,78.0,1,30335.05
2023-05-15,Northstar Public School,North Campus,Grade_7,325,308,17,0,3,74.6,1,28424.45
2023-05-15,Northstar Public School,North Campus,Grade_8,320,300,20,0,3,77.1,1,28697.78
2023-05-15,Northstar Public School,North Campus,Grade_9,310,296,14,0,2,73.9,1,28606.03
2023-05-15,Northstar Public School,South Campus,Grade_6,304,288,16,0,2,75.0,0,28132.44
2023-05-15,Northstar Public School,South Campus,Grade_7,299,282,17,0,2,76.1,1,27312.1
2023-05-15,Northstar Public School,South Campus,Grade_8,294,276,18,0,2,73.8,0,26925.5
2023-05-15,Northstar Public School,South Campus,Grade_9,285,270,15,0,2,78.4,1,25930.76
2023-05-22,Northstar Public School,North Campus,Grade_6,330,314,16,0,3,76.7,1,30462.53
2023-05-22,Northstar Public School,North Campus,Grade_7,325,304,21,0,3,77.4,0,28578.43
2023-05-22,Northstar Public School,North Campus,Grade_8,320,303,17,0,3,73.3,0,28592.98
2023-05-22,Northstar Public School,North Campus,Grade_9,310,291,19,0,2,77.5,0,29177.75
2023-05-22,Northstar Public School,South Campus,Grade_6,304,291,13,0,2,74.3,1,27941.07
2023-05-22,Northstar Public School,South Campus,Grade_7,299,283,16,0,2,74.4,0,27628.41
2023-05-22,Northstar Public School,South Campus,Grade_8,294,280,14,0,2,74.1,1,26117.28
2023-05-22,Northstar Public School,South Campus,Grade_9,285,273,12,0,2,78.5,1,26455.2
2023-05-29,Northstar Public School,North Campus,Grade_6,330,313,17,0,3,78.6,1,30389.67
2023-05-29,Northstar Public School,North Campus,Grade_7,325,307,18,0,3,77.4,0,29287.57
2023-05-29,Northstar Public School,North Campus,Grade_8,320,303,17,0,3,78.2,1,28671.09
2023-05-29,Northstar Public School,North Campus,Grade_9,310,297,13,0,2,77.9,1,27399.93
2023-05-29,Northstar Public School,South Campus,Grade_6,304,291,13,0,2,76.5,0,28293.96
2023-05-29,Northstar Public School,South Campus,Grade_7,299,284,15,0,2,75.9,1,26475.12
2023-05-29,Northstar Public School,South Campus,Grade_8,294,280,14,0,2,73.9,1,27025.96
2023-05-29,Northstar Public School,South Campus,Grade_9,285,268,17,0,2,73.9,0,25940.72
2023-06-05,Northstar Public School,North Campus,Grade_6,330,306,24,0,3,77.0,1,29011.89
2023-06-05,Northstar Public School,North Campus,Grade_7,325,296,29,0,3,74.2,1,29500.65
2023-06-05,Northstar Public School,North Campus,Grade_8,320,291,29,0,3,73.3,1,28210.99
2023-06-05,Northstar Public School,North Campus,Grade_9,310,288,22,1,2,77.6,1,27719.36
2023-06-05,Northstar Public School,South Campus,Grade_6,304,282,22,0,2,73.2,1,28473.87
2023-06-05,Northstar Public School,South Campus,Grade_7,299,278,21,0,2,77.2,1,27808.3
2023-06-05,Northstar Public School,South Campus,Grade_8,294,270,24,0,2,78.3,1,27743.49
2023-06-05,Northstar Public School,South Campus,Grade_9,285,264,21,1,2,77.4,0,25447.95
2023-06-12,Northstar Public School,North Campus,Grade_6,330,307,23,0,3,75.3,0,29234.97
2023-06-12,Northstar Public School,North Campus,Grade_7,325,296,29,0,3,77.6,1,28666.68
2023-06-12,Northstar Public School,North Campus,Grade_8,320,294,26,0,3,75.2,1,29708.9
2023-06-12,Northstar Public School,North Campus,Grade_9,310,285,25,1,2,77.6,0,28835.22
2023-06-12,Northstar Public School,South Campus,Grade_6,304,277,27,0,2,75.2,1,27289.44
2023-06-12,Northstar Public School,South Campus,Grade_7,299,273,26,0,2,73.9,0,28041.61
2023-06-12,Northstar Public School,South Campus,Grade_8,294,271,23,0,2,75.0,0,27283.48
2023-06-12,Northstar Public School,South Campus,Grade_9,285,266,19,1,2,75.2,0,25315.67
2023-06-19,Northstar Public School,North Campus,Grade_6,330,301,29,0,3,78.7,1,31048.61
2023-06-19,Northstar Public School,North Campus,Grade_7,325,296,29,0,3,76.9,1,30689.87
2023-06-19,Northstar Public School,North Campus,Grade_8,320,296,24,0,3,78.9,1,28929.14
2023-06-19,Northstar Public School,North Campus,Grade_9,310,283,27,1,2,76.7,1,27860.27
2023-06-19,Northstar Public School,South Campus,Grade_6,304,282,22,0,2,75.1,0,26983.45
2023-06-19,Northstar Public School,South Campus,Grade_7,299,277,22,0,2,75.8,1,26835.05
2023-06-19,Northstar Public School,South Campus,Grade_8,294,270,24,0,2,74.0,0,27473.55
2023-06-19,Northstar Public School,South Campus,Grade_9,285,266,19,1,2,76.9,0,25251.42
2023-06-26,Northstar Public School,North Campus,Grade_6,330,304,26,0,3,78.2,1,30156.77
2023-06-26,Northstar Public School,North Campus,Grade_7,325,298,27,0,3,76.1,0,29816.39
2023-06-26,Northstar Public School,North Campus,Grade_8,320,294,26,0,3,77.5,0,30107.78
2023-06-26,Northstar Public School,North Campus,Grade_9,310,287,23,1,2,75.2,0,28563.79
2023-06-26,Northstar Public School,South Campus,Grade_6,304,278,26,0,2,78.5,0,28264.28
2023-06-26,Northstar Public School,South Campus,Grade_7,299,273,26,0,2,74.7,1,27268.38
2023-06-26,Northstar Public School,South Campus,Grade_8,294,273,21,0,2,78.4,1,26863.45
2023-06-26,Northstar Public School,South Campus,Grade_9,285,264,21,1,2,73.1,1,25398.3
2023-07-03,Northstar Public School,North Campus,Grade_6,330,304,26,0,3,75.1,0,31035.91
2023-07-03,Northstar Public School,North Campus,Grade_7,325,299,26,0,3,78.8,1,30711.34
2023-07-03,Northstar Public School,North Campus,Grade_8,320,298,22,0,3,77.8,1,28458.19
2023-07-03,Northstar Public School,North Campus,Grade_9,310,285,25,0,2,76.7,0,27481.27
2023-07-03,Northstar Public School,South Campus,Grade_6,304,279,25,0,2,74.1,1,28349.23
2023-07-03,Northstar Public School,South Campus,Grade_7,299,277,22,0,2,78.1,0,27714.93
2023-07-03,Northstar Public School,South Campus,Grade_8,294,270,24,0,2,77.8,1,26601.57
2023-07-03,Northstar Public School,South Campus,Grade_9,285,263,22,0,2,73.1,0,26963.83
2023-07-10,Northstar Public School,North Campus,Grade_6,330,305,25,0,3,74.5,0,30735.76
2023-07-10,Northstar Public School,North Campus,Grade_7,325,300,25,0,3,74.6,1,30081.93
2023-07-10,Northstar Public School,North Campus,Grade_8,320,292,28,0,3,75.9,1,28277.37
2023-07-10,Northstar Public School,North Campus,Grade_9,310,289,21,0,2,74.7,0,29027.64
2023-07-10,Northstar Public School,South Campus,Grade_6,304,278,26,0,2,73.0,1,28417.21
2023-07-10,Northstar Public School,South Campus,Grade_7,299,277,22,0,2,78.1,0,26738.34
2023-07-10,Northstar Public School,South Campus,Grade_8,294,269,25,0,2,74.4,0,26280.14
2023-07-10,Northstar Public School,South Campus,Grade_9,285,261,24,0,2,74.7,0,25417.67
2023-07-17,Northstar Public School,North Campus,Grade_6,330,308,22,0,3,74.4,1,31131.38
2023-07-17,Northstar Public School,North Campus,Grade_7,325,297,28,0,3,74.4,0,30513.93
2023-07-17,Northstar Public School,North Campus,Grade_8,320,292,28,0,3,78.1,1,28396.98
2023-07-17,Northstar Public School,North Campus,Grade_9,310,283,27,0,2,77.9,1,29048.78
2023-07-17,Northstar Public School,South Campus,Grade_6,304,281,23,0,2,76.1,0,27973.8
2023-07-17,Northstar Public School,South Campus,Grade_7,299,279,20,0,2,76.0,1,28150.29
2023-07-17,Northstar Public School,South Campus,Grade_8,294,270,24,0,2,75.0,0,27462.95
2023-07-17,Northstar Public School,South Campus,Grade_9,285,262,23,0,2,79.0,0,25128.08
2023-07-24,Northstar Public School,North Campus,Grade_6,330,306,24,0,3,74.0,1,30150.42
2023-07-24,Northstar Public School,North Campus,Grade_7,325,298,27,0,3,77.3,1,29807.88
2023-07-24,Northstar Public School,North Campus,Grade_8,320,298,22,0,3,77.1,0,28493.48
2023-07-24,Northstar Public School,North Campus,Grade_9,310,288,22,0,2,76.4,1,27617.05
2023-07-24,Northstar Public School,South Campus,Grade_6,304,283,21,0,2,73.5,1,28417.63
2023-07-24,Northstar Public School,South Campus,Grade_7,299,277,22,0,2,76.2,1,27207.72
2023-07-24,Northstar Public School,South Campus,Grade_8,294,268,26,0,2,74.3,0,27189.97
2023-07-24,Northstar Public School,South Campus,Grade_9,285,259,26,0,2,75.5,1,26238.74
2023-07-31,Northstar Public School,North Campus,Grade_6,330,306,24,0,3,78.4,1,29567.76
2023-07-31,Northstar Public School,North Campus,Grade_7,325,300,25,0,3,78.1,1,29298.25
2023-07-31,Northstar Public School,North Campus,Grade_8,320,294,26,0,3,75.8,1,28082.33
2023-07-31,Northstar Public School,North Campus,Grade_9,310,288,22,0,2,75.4,1,27935.48
2023-07-31,Northstar Public School,South Campus,Grade_6,304,280,24,0,2,77.7,0,27541.34
2023-07-31,Northstar Public School,South Campus,Grade_7,299,273,26,0,2,77.7,0,26648.95
2023-07-31,Northstar Public School,South Campus,Grade_8,294,269,25,0,2,76.7,0,27480.32
2023-07-31,Northstar Public School,South Campus,Grade_9,285,266,19,0,2,79.0,0,25015.68
2023-08-07,Northstar Public School,North Campus,Grade_6,330,314,16,0,3,75.9,1,30939.81
2023-08-07,Northstar Public School,North Campus,Grade_7,325,308,17,0,3,73.6,0,30385.15
2023-08-07,Northstar Public School,North Campus,Grade_8,320,306,14,0,3,78.7,0,30070.9
2023-08-07,Northstar Public School,North Campus,Grade_9,310,294,16,0,2,73.1,1,29077.94
2023-08-07,Northstar Public School,South Campus,Grade_6,304,288,16,0,2,73.6,0,26948.79
2023-08-07,Northstar Public School,South Campus,Grade_7,299,279,20,0,2,75.8,1,27707.98
2023-08-07,Northstar Public School,South Campus,Grade_8,294,280,14,0,2,78.4,0,27314.64
2023-08-07,Northstar Public School,South Campus,Grade_9,285,266,19,0,2,74.1,1,26185.3
2023-08-14,Northstar Public School,North Campus,Grade_6,330,311,19,0,3,78.3,0,30972.83
2023-08-14,Northstar Public School,North Campus,Grade_7,325,305,20,0,3,74.4,1,29957.23
2023-08-14,Northstar Public School,North Campus,Grade_8,320,300,20,0,3,74.5,1,28100.67
2023-08-14,Northstar Public School,North Campus,Grade_9,310,295,15,0,2,75.3,0,28034.88
2023-08-14,Northstar Public School,South Campus,Grade_6,304,291,13,0,2,78.8,1,27212.64
2023-08-14,Northstar Public School,South Campus,Grade_7,299,284,15,0,2,78.7,0,26963.18
2023-08-14,Northstar Public School,South Campus,Grade_8,294,276,18,0,2,78.0,0,27693.9
2023-08-14,Northstar Public School,South Campus,Grade_9,285,267,18,0,2,73.3,1,26513.64
2023-08-21,Northstar Public School,North Campus,Grade_6,330,315,15,0,3,73.4,1,29232.95
2023-08-21,Northstar Public School,North Campus,Grade_7,325,307,18,0,3,78.5,1,28579.37
2023-08-21,Northstar Public School,North Campus,Grade_8,320,299,21,0,3,75.2,1,28924.41
2023-08-21,Northstar Public School,North Campus,Grade_9,310,295,15,0,2,77.8,1,27322.52
2023-08-21,Northstar Public School,South Campus,Grade_6,304,287,17,0,2,78.1,1,26982.96
2023-08-21,Northstar Public School,South Campus,Grade_7,299,281,18,0,2,78.3,1,27415.17
2023-08-21,Northstar Public School,South Campus,Grade_8,294,280,14,0,2,75.9,1,27585.1
2023-08-21,Northstar Public School,South Campus,Grade_9,285,266,19,0,2,79.0,1,25532.57
2023-08-28,Northstar Public School,North Campus,Grade_6,330,311,19,0,3,78.3,1,29803.51
2023-08-28,Northstar Public School,North Campus,Grade_7,325,305,20,0,3,78.1,1,28441.4
2023-08-28,Northstar Public School,North Campus,Grade_8,320,303,17,0,3,73.4,0,28496.21
2023-08-28,Northstar Public School,North Campus,Grade_9,310,294,16,0,2,74.2,0,27857.15
2023-08-28,Northstar Public School,South Campus,Grade_6,304,290,14,0,2,73.4,1,28372.31
2023-08-28,Northstar Public School,South Campus,Grade_7,299,284,15,0,2,74.9,0,26699.41
2023-08-28,Northstar Public School,South Campus,Grade_8,294,275,19,0,2,75.2,1,27095.66
2023-08-28,Northstar Public School,South Campus,Grade_9,285,268,17,0,2,73.2,0,24926.89
2023-09-04,Northstar Public School,North Campus,Grade_6,330,316,14,0,3,76.7,1,29434.76
2023-09-04,Northstar Public School,North Campus,Grade_7,325,306,19,0,3,76.1,1,30713.93
2023-09-04,Northstar Public School,North Campus,Grade_8,320,304,16,0,3,77.2,0,29918.34
2023-09-04,Northstar Public School,North Campus,Grade_9,310,291,19,0,2,78.9,1,27846.05
2023-09-04,Northstar Public School,South Campus,Grade_6,304,287,17,0,2,73.4,1,27754.49
2023-09-04,Northstar Public School,South Campus,Grade_7,299,282,17,0,2,77.5,1,27379.59
2023-09-04,Northstar Public School,South Campus,Grade_8,294,276,18,0,2,78.0,0,27038.3
2023-09-04,Northstar Public School,South Campus,Grade_9,285,272,13,0,2,78.9,0,26648.62
2023-09-11,Northstar Public School,North Campus,Grade_6,330,312,18,0,3,76.7,0,30931.25
2023-09-11,Northstar Public School,North Campus,Grade_7,325,306,19,0,3,74.8,1,30707.52
2023-09-11,Northstar Public School,North Campus,Grade_8,320,305,15,0,3,77.3,1,29919.88
2023-09-11,Northstar Public School,North Campus,Grade_9,310,292,18,0,2,77.4,0,28035.13
2023-09-11,Northstar Public School,South Campus,Grade_6,304,290,14,0,2,73.2,0,27574.25
2023-09-11,Northstar Public School,South Campus,Grade_7,299,284,15,0,2,79.0,1,26899.15
2023-09-11,Northstar Public School,South Campus,Grade_8,294,281,13,0,2,76.9,1,27382.84
