date,region,product,channel,segment,revenue,units_sold,orders,customers,fulfilled_orders,stockout_events,inventory_units,cost_of_goods,marketing_spend,returns,support_tickets
2023-01-02,South,Product C,Online,Enterprise,7324.61,18,5,4,5,0,96,4700.86,627.15,0,1
2023-01-02,South,Product C,Online,SMB,4725.53,12,4,4,4,0,63,3047.98,419.32,0,1
2023-01-02,South,Product C,Retail Partner,Enterprise,5301.46,13,4,3,4,0,73,3425.5,270.75,0,0
2023-01-02,South,Product C,Retail Partner,SMB,3515.77,9,3,2,3,0,48,2213.11,176.92,0,0
2023-01-02,East,Product A,Online,Enterprise,7910.77,30,9,7,9,0,161,4567.51,754.2,0,1
2023-01-02,East,Product A,Online,SMB,5187.33,19,7,6,7,0,109,2910.31,434.27,1,1
2023-01-02,East,Product A,Retail Partner,Enterprise,5820.99,22,6,5,6,0,103,3304.38,263.1,0,1
2023-01-02,East,Product A,Retail Partner,SMB,3753.98,14,5,4,5,0,69,2105.25,191.0,0,1
2023-01-02,East,Product B,Online,Enterprise,4177.56,22,6,5,6,0,116,2593.1,376.01,0,1
2023-01-02,East,Product B,Online,SMB,2454.45,13,5,4,5,0,73,1532.39,214.55,0,1
2023-01-02,East,Product B,Retail Partner,Enterprise,2909.4,16,4,3,4,0,85,1850.96,145.5,0,1
2023-01-02,East,Product B,Retail Partner,SMB,1965.36,10,4,3,4,0,56,1223.24,102.45,0,1
2023-01-02,East,Product C,Online,Enterprise,6312.62,15,4,3,4,0,95,3957.5,591.98,0,1
2023-01-02,East,Product C,Online,SMB,4234.14,10,4,3,4,0,56,2753.93,384.12,0,1
2023-01-02,East,Product C,Retail Partner,Enterprise,5136.96,12,3,3,3,0,65,3092.67,270.14,0,0
2023-01-02,East,Product C,Retail Partner,SMB,3046.46,8,3,2,3,0,39,1945.1,155.69,0,0
2023-01-02,West,Product A,Online,Enterprise,9945.06,37,10,8,10,0,210,5474.74,850.86,1,1
2023-01-02,West,Product A,Online,SMB,6943.49,26,10,8,10,0,121,4009.09,662.85,0,2
2023-01-02,West,Product A,Retail Partner,Enterprise,7166.51,27,8,6,8,0,146,4018.1,386.63,0,1
2023-01-02,West,Product A,Retail Partner,SMB,4869.05,18,7,5,7,0,97,2704.05,223.09,1,1
2023-01-02,West,Product B,Online,Enterprise,5458.13,28,8,6,8,0,153,3332.27,448.75,0,1
2023-01-02,West,Product B,Online,SMB,3644.39,19,7,6,7,0,99,2308.28,374.66,0,1
2023-01-02,West,Product B,Retail Partner,Enterprise,3959.65,21,6,5,6,0,105,2467.05,237.64,0,1
2023-01-02,West,Product B,Retail Partner,SMB,2430.84,13,5,4,5,0,67,1544.16,121.07,0,1
2023-01-02,West,Product C,Online,Enterprise,8169.39,20,6,4,6,0,102,5181.86,652.22,0,1
2023-01-02,West,Product C,Online,SMB,5120.06,12,5,4,5,0,80,3202.33,462.85,0,1
2023-01-02,West,Product C,Retail Partner,Enterprise,5517.79,13,4,3,4,0,82,3519.48,301.14,0,1
2023-01-02,West,Product C,Retail Partner,SMB,3782.99,9,4,3,4,0,55,2435.66,215.57,0,0
2023-01-09,North,Product A,Online,Enterprise,10060.17,37,11,8,11,0,206,5593.52,1029.23,1,2
2023-01-09,North,Product A,Online,SMB,7274.46,27,10,8,10,0,137,3958.28,710.67,1,1
2023-01-09,North,Product A,Retail Partner,Enterprise,7894.04,29,8,6,8,0,150,4414.23,328.2,1,1
2023-01-09,North,Product A,Retail Partner,SMB,5279.11,20,8,6,8,0,108,2989.96,281.21,0,1
2023-01-09,North,Product B,Online,Enterprise,5537.12,29,8,6,8,0,159,3484.07,531.8,1,1
2023-01-09,North,Product B,Online,SMB,3581.55,19,7,6,7,0,94,2251.65,355.23,1,1
2023-01-09,North,Product B,Retail Partner,Enterprise,4293.8,22,6,5,6,0,118,2660.3,224.65,1,1
2023-01-09,North,Product B,Retail Partner,SMB,2691.55,14,5,4,5,0,80,1661.01,142.65,0,1
2023-01-09,North,Product C,Online,Enterprise,9895.5,24,7,6,7,0,126,6237.85,1017.1,0,1
2023-01-09,North,Product C,Online,SMB,5856.85,14,5,4,5,0,76,3674.29,514.23,0,1
2023-01-09,North,Product C,Retail Partner,Enterprise,7467.39,18,5,4,5,0,81,4764.47,420.35,0,1
2023-01-09,North,Product C,Retail Partner,SMB,4352.89,11,4,3,4,0,57,2795.21,224.74,0,1
2023-01-09,South,Product A,Online,Enterprise,9567.55,35,10,8,10,0,180,5340.83,752.47,1,1
2023-01-09,South,Product A,Online,SMB,6157.74,23,9,7,9,0,115,3509.38,657.33,0,1
2023-01-09,South,Product A,Retail Partner,Enterprise,6780.11,25,7,6,7,0,131,3822.32,379.42,1,1
2023-01-09,South,Product A,Retail Partner,SMB,4049.84,15,6,4,6,0,88,2267.4,236.08,0,1
2023-01-09,South,Product B,Online,Enterprise,4426.99,24,7,5,7,0,126,2764.65,421.06,0,1
2023-01-09,South,Product B,Online,SMB,3002.06,16,6,5,6,0,79,1911.78,277.51,0,1
2023-01-09,South,Product B,Retail Partner,Enterprise,3496.13,18,5,4,5,0,95,2173.86,186.56,0,1
2023-01-09,South,Product B,Retail Partner,SMB,2299.78,12,5,4,5,0,63,1390.36,132.68,0,1
2023-01-09,South,Product C,Online,Enterprise,7780.78,19,5,4,5,0,98,4907.39,693.38,0,1
2023-01-09,South,Product C,Online,SMB,5453.76,13,5,4,5,0,64,3437.76,516.46,0,1
2023-01-09,South,Product C,Retail Partner,Enterprise,6060.51,15,4,3,4,0,74,3751.97,332.07,0,1
2023-01-09,South,Product C,Retail Partner,SMB,3663.73,9,3,3,3,0,47,2248.13,183.85,0,0
2023-01-09,East,Product A,Online,Enterprise,7822.35,29,8,7,8,0,161,4368.65,810.79,1,1
2023-01-09,East,Product A,Online,SMB,5496.3,20,8,6,8,0,104,3028.18,531.61,1,1
2023-01-09,East,Product A,Retail Partner,Enterprise,5661.28,21,6,5,6,0,119,3223.72,283.66,0,1
2023-01-09,East,Product A,Retail Partner,SMB,3322.84,12,5,4,5,0,79,1861.61,184.05,0,1
2023-01-09,East,Product B,Online,Enterprise,4463.87,23,7,5,7,0,110,2673.11,398.06,0,1
2023-01-09,East,Product B,Online,SMB,2766.15,14,5,4,5,0,74,1684.5,265.08,0,1
2023-01-09,East,Product B,Retail Partner,Enterprise,3036.16,16,5,4,5,0,82,1924.5,138.31,0,1
2023-01-09,East,Product B,Retail Partner,SMB,1938.5,11,4,3,4,0,51,1255.22,99.86,0,1
2023-01-09,East,Product C,Online,Enterprise,6545.76,16,5,4,5,0,84,4120.61,675.56,0,1
2023-01-09,East,Product C,Online,SMB,4366.68,11,4,3,4,0,53,2793.44,391.27,0,1
2023-01-09,East,Product C,Retail Partner,Enterprise,4578.13,11,3,2,3,0,64,2945.58,221.21,0,0
2023-01-09,East,Product C,Retail Partner,SMB,2988.72,7,3,2,3,0,43,1905.3,173.42,0,0
2023-01-09,West,Product A,Online,Enterprise,9813.08,37,10,8,10,1,203,5569.59,835.35,1,1
2023-01-09,West,Product A,Online,SMB,6423.72,25,9,7,9,0,151,3722.42,590.26,1,1
2023-01-09,West,Product A,Retail Partner,Enterprise,6742.27,25,7,6,7,0,142,3812.65,374.23,0,1
2023-01-09,West,Product A,Retail Partner,SMB,4406.0,17,6,5,6,0,103,2522.75,264.2,0,1
2023-01-09,West,Product B,Online,Enterprise,5459.53,29,8,6,8,1,145,3454.35,486.95,1,1
2023-01-09,West,Product B,Online,SMB,3746.58,20,8,5,8,0,99,2283.31,362.15,0,1
2023-01-09,West,Product B,Retail Partner,Enterprise,3681.39,20,6,5,6,0,107,2364.77,194.94,0,1
2023-01-09,West,Product B,Retail Partner,SMB,2610.52,14,5,4,5,0,70,1609.76,138.48,0,1
2023-01-09,West,Product C,Online,Enterprise,8681.21,21,6,5,6,0,115,5438.62,868.9,0,1
2023-01-09,West,Product C,Online,SMB,6509.99,16,6,5,6,0,72,4208.02,651.96,1,1
2023-01-09,West,Product C,Retail Partner,Enterprise,5523.77,13,4,3,4,0,79,3499.09,307.47,0,1
2023-01-09,West,Product C,Retail Partner,SMB,4089.76,10,4,3,4,0,51,2570.07,224.62,0,1
2023-01-16,North,Product A,Online,Enterprise,9846.25,37,10,9,10,1,222,5606.71,974.55,1,2
2023-01-16,North,Product A,Online,SMB,7240.92,27,10,8,10,0,138,4009.13,789.6,1,1
2023-01-16,North,Product A,Retail Partner,Enterprise,8208.52,30,9,7,9,1,153,4554.16,424.53,1,1
2023-01-16,North,Product A,Retail Partner,SMB,4984.77,19,7,6,7,0,99,2884.39,224.49,1,1
2023-01-16,North,Product B,Online,Enterprise,6018.36,32,9,7,9,0,163,3650.94,605.34,1,1
2023-01-16,North,Product B,Online,SMB,4238.99,22,9,7,9,0,102,2647.14,331.95,0,2
2023-01-16,North,Product B,Retail Partner,Enterprise,4179.06,22,6,5,6,0,118,2591.67,192.56,0,1
2023-01-16,North,Product B,Retail Partner,SMB,2605.25,14,5,4,5,0,75,1627.64,125.11,0,1
2023-01-16,North,Product C,Online,Enterprise,8698.73,21,6,5,6,0,111,5578.12,786.96,0,1
2023-01-16,North,Product C,Online,SMB,5855.16,14,5,4,5,0,79,3712.56,501.07,0,1
2023-01-16,North,Product C,Retail Partner,Enterprise,7159.33,17,5,4,5,0,94,4538.27,323.43,0,1
2023-01-16,North,Product C,Retail Partner,SMB,4073.24,10,4,3,4,0,60,2601.06,199.45,0,1
2023-01-16,South,Product A,Online,Enterprise,9808.87,36,10,8,10,1,181,5423.0,926.61,1,2
2023-01-16,South,Product A,Online,SMB,5396.7,20,8,6,8,0,113,2972.06,546.69,0,1
2023-01-16,South,Product A,Retail Partner,Enterprise,6286.76,23,7,5,7,0,133,3575.19,332.42,0,1
2023-01-16,South,Product A,Retail Partner,SMB,4018.97,15,6,5,6,0,82,2254.74,210.22,0,1
2023-01-16,South,Product B,Online,Enterprise,5265.5,28,8,6,8,0,133,3271.18,468.89,1,1
2023-01-16,South,Product B,Online,SMB,3219.75,17,7,5,7,0,87,2042.52,326.7,0,1
2023-01-16,South,Product B,Retail Partner,Enterprise,3299.43,17,5,4,5,0,98,2020.9,174.26,0,1
2023-01-16,South,Product B,Retail Partner,SMB,2104.53,11,4,3,4,0,62,1342.35,115.76,0,1
2023-01-16,South,Product C,Online,Enterprise,7941.51,19,5,4,5,0,98,4984.02,779.01,0,1
2023-01-16,South,Product C,Online,SMB,5252.78,12,5,4,5,0,64,3254.55,410.34,0,1
2023-01-16,South,Product C,Retail Partner,Enterprise,5381.15,13,4,3,4,0,68,3339.93,292.02,0,0
2023-01-16,South,Product C,Retail Partner,SMB,3523.01,8,3,3,3,0,43,2182.64,176.67,0,1
2023-01-16,East,Product A,Online,Enterprise,7241.79,27,8,6,8,0,147,4142.16,653.02,1,1
2023-01-16,East,Product A,Online,SMB,5098.48,19,7,6,7,0,103,2858.06,451.68,0,1
2023-01-16,East,Product A,Retail Partner,Enterprise,5472.57,20,6,4,6,0,102,3082.78,264.0,0,1
2023-01-16,East,Product A,Retail Partner,SMB,3801.67,14,5,4,5,0,78,2125.44,212.87,0,1
2023-01-16,East,Product B,Online,Enterprise,3916.98,20,6,5,6,0,120,2456.2,338.13,0,1
2023-01-16,East,Product B,Online,SMB,2461.02,13,5,4,5,0,79,1538.2,246.29,0,1
2023-01-16,East,Product B,Retail Partner,Enterprise,3031.18,16,5,3,5,0,87,1883.73,148.26,0,1
2023-01-16,East,Product B,Retail Partner,SMB,1912.93,10,4,3,4,0,58,1191.94,93.24,0,0
2023-01-16,East,Product C,Online,Enterprise,6820.43,17,5,4,5,0,80,4378.43,634.9,0,1
2023-01-16,East,Product C,Online,SMB,4402.07,11,4,3,4,0,55,2744.83,463.15,0,1
2023-01-16,East,Product C,Retail Partner,Enterprise,4802.02,12,3,3,3,0,60,3072.31,213.95,0,0
2023-01-16,East,Product C,Retail Partner,SMB,3206.22,8,3,2,3,0,38,2041.68,201.83,0,0
2023-01-16,West,Product A,Online,Enterprise,9815.41,36,10,8,10,1,200,5522.46,770.76,1,1
2023-01-16,West,Product A,Online,SMB,6924.24,25,10,8,10,0,143,3830.99,707.42,1,1
2023-01-16,West,Product A,Retail Partner,Enterprise,7904.99,29,8,6,8,0,155,4315.92,450.45,1,2
2023-01-16,West,Product A,Retail Partner,SMB,4732.81,18,7,5,7,0,101,2672.44,226.79,0,1
2023-01-16,West,Product B,Online,Enterprise,5686.64,30,9,7,9,0,141,3627.25,524.7,0,1
2023-01-16,West,Product B,Online,SMB,3792.44,20,8,6,8,0,104,2346.07,361.13,1,1
2023-01-16,West,Product B,Retail Partner,Enterprise,3886.93,20,6,5,6,0,92,2401.78,193.89,0,1
2023-01-16,West,Product B,Retail Partner,SMB,2636.95,14,5,4,5,0,73,1666.68,127.88,0,1
2023-01-16,West,Product C,Online,Enterprise,8557.79,21,6,4,6,0,125,5443.37,744.31,0,1
2023-01-16,West,Product C,Online,SMB,5300.58,13,5,4,5,0,79,3346.38,485.67,0,1
2023-01-16,West,Product C,Retail Partner,Enterprise,5952.96,15,4,3,4,0,79,3851.43,306.73,0,1
2023-01-16,West,Product C,Retail Partner,SMB,4061.7,10,4,3,4,0,52,2495.47,209.85,0,1
2023-01-23,North,Product A,Online,Enterprise,10195.85,39,11,8,11,0,217,5906.25,963.98,1,2
2023-01-23,North,Product A,Online,SMB,6990.6,26,10,8,10,0,133,3941.3,649.52,1,2
2023-01-23,North,Product A,Retail Partner,Enterprise,8155.9,31,9,7,9,1,151,4633.01,497.93,0,1
2023-01-23,North,Product A,Retail Partner,SMB,4959.68,19,7,6,7,0,111,2857.44,243.39,0,1
2023-01-23,North,Product B,Online,Enterprise,5841.95,31,9,7,9,0,169,3637.64,557.89,0,1
2023-01-23,North,Product B,Online,SMB,3805.64,21,8,6,8,0,113,2431.2,379.01,0,1
2023-01-23,North,Product B,Retail Partner,Enterprise,4379.17,23,7,5,7,0,131,2682.35,233.05,0,1
2023-01-23,North,Product B,Retail Partner,SMB,2676.84,14,6,4,6,0,81,1686.21,112.49,0,1
2023-01-23,North,Product C,Online,Enterprise,9044.71,22,6,5,6,0,120,5688.3,744.43,1,1
2023-01-23,North,Product C,Online,SMB,6105.19,15,6,4,6,0,85,3837.27,595.79,0,1
2023-01-23,North,Product C,Retail Partner,Enterprise,6327.17,15,4,3,4,0,88,3960.02,328.13,0,1
2023-01-23,North,Product C,Retail Partner,SMB,4431.25,11,4,3,4,0,56,2794.2,217.48,0,0
2023-01-23,South,Product A,Online,Enterprise,9558.37,35,10,7,10,0,190,5296.01,834.74,1,2
2023-01-23,South,Product A,Online,SMB,6125.51,23,9,6,9,0,132,3377.83,597.5,1,1
2023-01-23,South,Product A,Retail Partner,Enterprise,6605.01,25,7,5,7,0,125,3752.92,351.01,1,1
2023-01-23,South,Product A,Retail Partner,SMB,4347.19,16,6,5,6,0,86,2419.41,239.26,0,1
2023-01-23,South,Product B,Online,Enterprise,4590.6,24,7,5,7,0,142,2871.86,396.73,0,1
2023-01-23,South,Product B,Online,SMB,3249.06,17,7,5,7,0,93,2008.93,283.19,1,1
2023-01-23,South,Product B,Retail Partner,Enterprise,3385.56,18,5,4,5,0,98,2108.33,160.07,0,1
2023-01-23,South,Product B,Retail Partner,SMB,2285.43,12,5,4,5,0,66,1442.73,112.83,0,1
2023-01-23,South,Product C,Online,Enterprise,7837.87,19,5,4,5,0,99,5028.44,769.72,0,1
2023-01-23,South,Product C,Online,SMB,5395.73,13,5,4,5,0,68,3430.2,568.89,0,1
2023-01-23,South,Product C,Retail Partner,Enterprise,5180.9,13,4,3,4,0,67,3247.98,268.27,0,1
2023-01-23,South,Product C,Retail Partner,SMB,3531.31,9,3,3,3,0,48,2261.33,188.0,0,1
2023-01-23,East,Product A,Online,Enterprise,7252.69,27,8,6,8,0,156,4106.63,746.0,1,1
2023-01-23,East,Product A,Online,SMB,5364.28,20,8,6,8,0,102,2991.0,469.17,0,1
2023-01-23,East,Product A,Retail Partner,Enterprise,5291.12,20,6,4,6,0,120,2943.33,241.94,0,1
2023-01-23,East,Product A,Retail Partner,SMB,3619.58,13,5,4,5,0,70,2041.93,187.41,0,1
2023-01-23,East,Product B,Online,Enterprise,3791.21,20,6,5,6,0,112,2375.37,395.04,0,1
2023-01-23,East,Product B,Online,SMB,2968.22,15,6,4,6,0,86,1794.82,289.36,0,1
2023-01-23,East,Product B,Retail Partner,Enterprise,3064.1,16,4,3,4,0,84,1889.69,162.37,0,1
2023-01-23,East,Product B,Retail Partner,SMB,1927.8,10,4,3,4,0,56,1213.25,95.88,0,1
2023-01-23,East,Product C,Online,Enterprise,6945.97,17,5,4,5,0,90,4374.63,647.78,0,1
2023-01-23,East,Product C,Online,SMB,4436.13,11,4,3,4,0,58,2786.15,417.41,0,1
2023-01-23,East,Product C,Retail Partner,Enterprise,4588.63,11,3,2,3,0,61,2914.6,233.08,0,0
2023-01-23,East,Product C,Retail Partner,SMB,2937.55,7,3,2,3,0,39,1863.12,153.42,0,0
2023-01-23,West,Product A,Online,Enterprise,9890.35,37,11,9,11,1,205,5675.52,973.61,1,2
2023-01-23,West,Product A,Online,SMB,6687.28,25,10,7,10,0,144,3798.64,696.34,1,1
2023-01-23,West,Product A,Retail Partner,Enterprise,6875.65,26,7,6,7,0,143,3939.13,345.58,1,1
2023-01-23,West,Product A,Retail Partner,SMB,4962.94,19,7,6,7,0,101,2799.49,279.01,0,1
2023-01-23,West,Product B,Online,Enterprise,5554.76,30,8,7,8,0,156,3527.18,548.63,0,1
2023-01-23,West,Product B,Online,SMB,3442.26,18,7,6,7,0,101,2131.01,285.78,1,1
2023-01-23,West,Product B,Retail Partner,Enterprise,3905.58,21,6,5,6,0,105,2537.13,199.08,0,1
2023-01-23,West,Product B,Retail Partner,SMB,2518.19,13,5,4,5,0,72,1543.9,126.55,0,1
2023-01-23,West,Product C,Online,Enterprise,9400.32,23,6,5,6,0,115,5811.57,883.93,0,1
2023-01-23,West,Product C,Online,SMB,5048.29,12,5,4,5,0,77,3113.92,422.07,0,1
2023-01-23,West,Product C,Retail Partner,Enterprise,6101.49,15,4,3,4,0,80,3828.51,335.37,0,1
2023-01-23,West,Product C,Retail Partner,SMB,3767.87,9,4,3,4,0,54,2405.45,194.23,0,1
2023-01-30,North,Product A,Online,Enterprise,11171.28,42,12,9,12,0,218,6235.85,893.16,1,2
2023-01-30,North,Product A,Online,SMB,7614.15,28,11,8,11,0,151,4185.35,684.9,1,1
2023-01-30,North,Product A,Retail Partner,Enterprise,7440.93,28,8,6,8,0,157,4199.03,399.57,1,1
2023-01-30,North,Product A,Retail Partner,SMB,5621.1,21,8,7,8,1,109,3157.1,263.85,0,2
2023-01-30,North,Product B,Online,Enterprise,5790.28,30,9,6,9,1,169,3602.96,546.27,1,1
2023-01-30,North,Product B,Online,SMB,4000.04,21,8,7,8,0,105,2523.65,408.56,0,1
2023-01-30,North,Product B,Retail Partner,Enterprise,4416.74,23,7,5,7,0,120,2765.28,223.95,0,1
2023-01-30,North,Product B,Retail Partner,SMB,2691.0,14,5,4,5,0,76,1668.4,125.54,0,1
2023-01-30,North,Product C,Online,Enterprise,9750.1,23,7,5,7,0,122,6085.78,895.67,0,1
2023-01-30,North,Product C,Online,SMB,5688.82,14,5,4,5,0,86,3518.2,582.19,0,1
2023-01-30,North,Product C,Retail Partner,Enterprise,6604.26,16,5,3,5,0,87,4291.16,340.98,0,1
2023-01-30,North,Product C,Retail Partner,SMB,4122.09,10,4,3,4,0,59,2569.84,204.36,0,1
2023-01-30,South,Product A,Online,Enterprise,8747.32,32,9,7,9,1,178,4950.42,862.48,0,2
2023-01-30,South,Product A,Online,SMB,5938.64,22,8,7,8,0,122,3393.66,523.83,1,1
2023-01-30,South,Product A,Retail Partner,Enterprise,6700.59,25,7,5,7,0,133,3774.49,298.72,0,1
2023-01-30,South,Product A,Retail Partner,SMB,3998.33,15,6,5,6,0,94,2251.23,196.32,0,1
2023-01-30,South,Product B,Online,Enterprise,4586.91,24,7,5,7,0,126,2846.0,431.51,0,1
2023-01-30,South,Product B,Online,SMB,3208.09,17,6,5,6,0,89,1989.05,340.44,0,1
2023-01-30,South,Product B,Retail Partner,Enterprise,3214.58,17,5,4,5,0,93,2028.68,179.25,0,1
2023-01-30,South,Product B,Retail Partner,SMB,2095.6,11,4,3,4,0,63,1311.65,119.49,0,1
2023-01-30,South,Product C,Online,Enterprise,7528.01,18,5,4,5,0,98,4736.97,702.1,0,1
2023-01-30,South,Product C,Online,SMB,4936.32,12,5,4,5,0,69,3145.06,513.95,0,1
2023-01-30,South,Product C,Retail Partner,Enterprise,5429.21,13,4,3,4,0,70,3478.83,286.26,0,0
2023-01-30,South,Product C,Retail Partner,SMB,3489.45,8,3,3,3,0,45,2171.33,177.51,0,0
2023-01-30,East,Product A,Online,Enterprise,7149.68,27,8,6,8,0,153,4182.92,677.98,1,1
2023-01-30,East,Product A,Online,SMB,4941.44,18,7,6,7,0,101,2808.35,421.24,0,1
2023-01-30,East,Product A,Retail Partner,Enterprise,5464.23,21,6,5,6,0,111,3057.17,287.1,0,1
2023-01-30,East,Product A,Retail Partner,SMB,3540.67,13,5,4,5,0,76,1989.36,178.37,0,1
2023-01-30,East,Product B,Online,Enterprise,4158.22,22,6,5,6,0,111,2569.51,434.48,0,1
2023-01-30,East,Product B,Online,SMB,2691.94,14,5,4,5,0,83,1707.36,258.11,0,1
2023-01-30,East,Product B,Retail Partner,Enterprise,2925.05,15,4,3,4,0,86,1817.71,153.01,0,1
2023-01-30,East,Product B,Retail Partner,SMB,2107.35,11,4,3,4,0,59,1349.78,110.15,0,1
2023-01-30,East,Product C,Online,Enterprise,6840.82,17,5,4,5,0,88,4397.8,658.13,0,1
2023-01-30,East,Product C,Online,SMB,4994.62,12,5,4,5,0,61,3104.7,462.92,0,1
2023-01-30,East,Product C,Retail Partner,Enterprise,4504.78,11,3,2,3,0,62,2844.65,242.87,0,0
2023-01-30,East,Product C,Retail Partner,SMB,3464.82,8,3,3,3,0,41,2180.02,173.0,0,1
2023-01-30,West,Product A,Online,Enterprise,9932.79,37,11,8,11,1,211,5693.32,939.85,1,1
2023-01-30,West,Product A,Online,SMB,6406.49,23,9,7,9,0,131,3547.73,621.79,1,1
2023-01-30,West,Product A,Retail Partner,Enterprise,7615.56,28,8,6,8,0,147,4223.63,412.04,0,1
2023-01-30,West,Product A,Retail Partner,SMB,5099.84,19,7,6,7,0,100,2981.79,280.41,0,2
2023-01-30,West,Product B,Online,Enterprise,5152.25,27,8,6,8,0,142,3164.79,457.0,0,1
2023-01-30,West,Product B,Online,SMB,3674.92,19,7,6,7,0,101,2264.79,340.96,1,1
2023-01-30,West,Product B,Retail Partner,Enterprise,3646.95,20,6,4,6,0,106,2277.57,198.7,0,1
2023-01-30,West,Product B,Retail Partner,SMB,2652.74,14,5,4,5,0,70,1651.83,147.54,0,1
2023-01-30,West,Product C,Online,Enterprise,9165.5,22,6,5,6,0,100,5754.93,834.53,0,1
2023-01-30,West,Product C,Online,SMB,5295.58,12,5,4,5,0,78,3221.83,436.64,0,1
2023-01-30,West,Product C,Retail Partner,Enterprise,6009.37,15,4,3,4,0,80,3855.1,305.08,0,1
2023-01-30,West,Product C,Retail Partner,SMB,4479.36,11,4,3,4,0,55,2772.98,231.36,0,1
2023-02-06,North,Product A,Online,Enterprise,11270.14,42,12,9,12,1,213,6410.9,1111.6,0,2
2023-02-06,North,Product A,Online,SMB,7045.4,26,10,8,10,0,147,3994.36,651.27,1,1
2023-02-06,North,Product A,Retail Partner,Enterprise,8137.22,31,9,7,9,0,167,4680.92,433.13,0,1
2023-02-06,North,Product A,Retail Partner,SMB,4818.93,18,7,6,7,0,102,2673.9,254.44,0,1
2023-02-06,North,Product B,Online,Enterprise,6569.77,35,10,8,10,0,168,4087.7,670.12,1,2
2023-02-06,North,Product B,Online,SMB,3535.44,18,7,6,7,0,109,2173.36,311.12,0,1
2023-02-06,North,Product B,Retail Partner,Enterprise,4082.07,21,6,5,6,0,112,2538.69,192.32,0,1
2023-02-06,North,Product B,Retail Partner,SMB,2764.4,15,6,4,6,0,80,1688.81,134.85,0,1
2023-02-06,North,Product C,Online,Enterprise,10052.53,24,7,6,7,0,109,6369.21,1008.76,0,1
2023-02-06,North,Product C,Online,SMB,6514.93,16,6,5,6,0,79,4062.53,533.48,0,1
2023-02-06,North,Product C,Retail Partner,Enterprise,7077.71,17,5,4,5,0,91,4467.23,373.37,0,1
2023-02-06,North,Product C,Retail Partner,SMB,4399.73,11,4,3,4,0,55,2825.28,221.11,0,0
2023-02-06,South,Product A,Online,Enterprise,8736.28,33,9,7,9,1,178,5016.59,830.08,1,2
2023-02-06,South,Product A,Online,SMB,5825.43,22,8,7,8,0,126,3275.4,556.2,0,2
2023-02-06,South,Product A,Retail Partner,Enterprise,7007.71,26,7,6,7,0,130,3971.06,379.85,0,1
2023-02-06,South,Product A,Retail Partner,SMB,3774.87,14,5,4,5,0,88,2103.11,223.91,0,1
2023-02-06,South,Product B,Online,Enterprise,4957.53,27,8,6,8,0,134,3161.05,483.86,0,1
2023-02-06,South,Product B,Online,SMB,3173.29,17,6,5,6,0,92,1958.98,314.57,0,1
2023-02-06,South,Product B,Retail Partner,Enterprise,3415.91,18,5,4,5,0,95,2087.36,181.67,0,1
2023-02-06,South,Product B,Retail Partner,SMB,2226.59,12,4,3,4,0,63,1357.79,119.25,0,1
2023-02-06,South,Product C,Online,Enterprise,7770.25,19,5,4,5,0,97,4880.84,705.76,0,1
